	E2F4	EGR1	ELF1	EPAS1	EYA2	FOXO1	GATA2	GFI1B	HCFC1	HDAC2	IKZF1	IRF8	IRF9	JUN	KLF6	MAPK1	MEIS1	MYB	MYC	MYCN	NDN	NFAT5	NFATC2	NFE2	NR3C2	NUPR1	PLAG1	RARB	RB1	REL	RELB	RUNX1T1	SALL2	SATB1	SLA2	SMARCA2	SPI1	STAT2	YBX1	ZBTB16	ABL1	BTG2	CBFB	CENPK	CREB5	CTR9	DDX20	ERCC8	GTF2F1	GTF2H1	H1F0	HDAC11	HDAC7	HLF	HMGB2	IRF6	IRF7	JARID2	MAML3	MAPK12	MCM2	MCM3	MCM4	MCM5	MCM6	MCM7	MECOM	MIS18BP1	NFKBIA	ORC2	PA2G4	PBX1	PHF10	POLR1B	POLR2B	RNF4	RORC	RUVBL2	SNRPB	SPO11	SRSF1	TOPORS	TRPS1	VDR	XPC	XRCC6	ZDHHC6	ZFP36
IKZF1	0.0595	0.1253	0.04477	0.0612	0.04974	0.06402	0.06089	0.2486	0.06422	0.04568	1	0.05739	0.05309	0.07673	0.2317	0.04129	0.09483	0.069	0.06369	0.0532	0.1025	0.05296	0.04394	0.07124	0.07013	0.2262	0.1588	0.07655	0.05751	0.046	0.05483	0.0538	0.125	0.06329	0.09399	0.04768	0.09077	0.04657	0.07323	0.1143	0.05267	0.07513	0.1372	0.1398	0.06752	0.05804	0.06276	0.03728	0.05616	0.07629	0.1008	0.0521	0.05324	0.0933	0.1085	0.05319	0.05208	0.05159	0.06155	0.0389	0.04804	0.07826	0.05959	0.04144	0.05043	0.04991	0.1436	0.05401	0.06621	0.05273	0.0499	0.06127	0.07323	0.04484	0.04931	0.1118	0.07346	0.04419	0.07457	0.06516	0.06707	0.05545	0.07554	0.06218	0.06494	0.0521	0.0409	0.09813
IRF8	0.04959	0.08936	0.1542	0.07565	0.05341	0.1464	0.0947	0.05718	0.06594	0.05102	0.06829	1	0.3812	0.07718	0.09226	0.04724	0.07428	0.06416	0.05063	0.04644	0.06472	0.06489	0.08455	0.06182	0.05026	0.1768	0.07129	0.05309	0.06082	0.04357	0.08171	0.07435	0.06286	0.06954	0.04808	0.06061	0.2454	0.04644	0.0836	0.05175	0.04603	0.1679	0.1407	0.1159	0.0701	0.04845	0.05252	0.04123	0.046	0.0634	0.1371	0.04412	0.05826	0.06558	0.1241	0.4039	0.4011	0.05705	0.04749	0.04796	0.05945	0.06533	0.04723	0.104	0.1344	0.07421	0.07897	0.08159	0.04183	0.05714	0.04453	0.0827	0.06084	0.04878	0.06843	0.1417	0.09189	0.06561	0.07263	0.03819	0.08049	0.05676	0.05788	0.07639	0.05206	0.04846	0.05894	0.07225
IRF9	0.08122	0.07979	0.1582	0.06745	0.07074	0.1294	0.06076	0.0602	0.09379	0.05579	0.06983	0.3812	1	0.08409	0.1254	0.08469	0.07095	0.05606	0.08136	0.0675	0.0521	0.05473	0.06411	0.07306	0.0787	0.1898	0.06406	0.06078	0.06514	0.04904	0.06787	0.06508	0.06421	0.05676	0.0847	0.05632	0.233	0.06005	0.07304	0.06637	0.07095	0.2059	0.1005	0.0837	0.08396	0.05979	0.06163	0.03623	0.06759	0.06202	0.132	0.03632	0.06659	0.111	0.08462	0.3802	0.3427	0.0639	0.0578	0.05325	0.05019	0.07788	0.07034	0.07721	0.1393	0.05201	0.106	0.04855	0.06446	0.07758	0.05052	0.0824	0.0776	0.05782	0.053	0.1391	0.07297	0.05659	0.08094	0.03251	0.07589	0.06574	0.06932	0.06748	0.05928	0.07245	0.06163	0.06979
JUN	0.07792	0.07669	0.07641	0.07537	0.0825	0.06672	0.0628	0.06555	0.05861	0.07126	0.07747	0.08215	0.06308	1	0.1079	0.04156	0.07153	0.08914	0.14	0.08773	0.07134	0.07973	0.06628	0.2391	0.0802	0.2244	0.1012	0.0507	0.06083	0.08186	0.06953	0.1214	0.08762	0.0701	0.07561	0.09184	0.1012	0.06887	0.07819	0.06547	0.06936	0.07507	0.1261	0.234	0.1967	0.06909	0.09418	0.05261	0.07503	0.06316	0.09278	0.07079	0.0931	0.211	0.09599	0.05992	0.1094	0.08927	0.1221	0.0441	0.07023	0.07714	0.08199	0.06953	0.06278	0.05907	0.05984	0.07982	0.06783	0.09687	0.07549	0.07528	0.05981	0.05131	0.07056	0.1076	0.08192	0.04087	0.1066	0.09002	0.06437	0.09333	0.05432	0.07863	0.0539	0.05919	0.07054	0.08296
KLF6	0.08866	0.2849	0.08336	0.0892	0.1026	0.1174	0.07737	0.2547	0.1014	0.07704	0.2479	0.09335	0.1032	0.12	1	0.03869	0.1213	0.1037	0.1073	0.08974	0.08595	0.0728	0.09487	0.09402	0.08282	0.191	0.2844	0.08742	0.08947	0.07806	0.07376	0.084	0.2031	0.1002	0.05711	0.0891	0.09263	0.09352	0.1108	0.2493	0.07946	0.06167	0.1098	0.09021	0.09597	0.07918	0.102	0.05591	0.1021	0.06897	0.1218	0.05956	0.0986	0.06718	0.1173	0.09679	0.09852	0.09863	0.1105	0.06184	0.1004	0.115	0.09476	0.07631	0.06501	0.09086	0.263	0.09943	0.06656	0.09763	0.0524	0.09223	0.1051	0.07661	0.03583	0.108	0.1176	0.0497	0.0893	0.08898	0.08404	0.0996	0.1773	0.08098	0.1006	0.07502	0.06591	0.07523
MAPK1	0.04982	0.04908	0.03523	0.0758	0.0692	0.03307	0.04333	0.05675	0.05103	0.06198	0.04736	0.06755	0.08186	0.03821	0.07102	1	0.08121	0.05085	0.03123	0.0342	0.05926	0.05245	0.06413	0.04388	0.06177	0.1651	0.04485	0.1118	0.1166	0.03362	0.03452	0.0826	0.03378	0.09097	0.08022	0.07827	0.0437	0.06539	0.04551	0.05632	0.5985	0.1225	0.08933	0.03709	0.0336	0.1262	0.03423	0.06528	0.04144	0.06273	0.0827	0.04409	0.0548	0.04653	0.08943	0.06264	0.051	0.03879	0.03279	0.8779	0.08847	0.08922	0.08976	0.06441	0.07087	0.06939	0.03973	0.03308	0.0803	0.03698	0.06043	0.04374	0.06567	0.06444	0.05122	0.05967	0.1018	0.06797	0.04962	0.1258	0.1086	0.033	0.04633	0.07665	0.04526	0.07106	0.05779	0.03742
MEIS1	0.0693	0.09518	0.08422	0.05934	0.07661	0.07939	0.05549	0.06102	0.06569	0.05842	0.06859	0.04871	0.05882	0.08976	0.1095	0.0634	1	0.08342	0.1044	0.09528	0.07877	0.06688	0.06946	0.07756	0.0797	0.2089	0.09706	0.08201	0.08529	0.05918	0.05545	0.09354	0.07236	0.1205	0.07573	0.08542	0.1177	0.1268	0.07597	0.09377	0.05918	0.1725	0.1399	0.1294	0.09063	0.09055	0.06781	0.04503	0.1107	0.1453	0.0989	0.0853	0.07122	0.09219	0.1303	0.05318	0.06411	0.06628	0.105	0.04942	0.05792	0.0786	0.0637	0.1018	0.08867	0.07798	0.07848	0.1191	0.08864	0.06494	0.05528	0.1462	0.08291	0.06499	0.06265	0.07536	0.09182	0.0562	0.08929	0.05482	0.06676	0.091	0.07728	0.104	0.06174	0.05656	0.07413	0.07225
MYB	0.08976	0.06662	0.0503	0.05741	0.06	0.06699	0.05767	0.0735	0.05328	0.06502	0.05426	0.06163	0.05433	0.09006	0.1037	0.04374	0.07092	1	0.06883	0.05636	0.06719	0.05332	0.06483	0.07164	0.05538	0.2457	0.08156	0.0451	0.03877	0.05451	0.04782	0.0683	0.06151	0.08012	0.06933	0.05429	0.09692	0.03991	0.07487	0.05652	0.05196	0.08107	0.1542	0.1064	0.07451	0.06664	0.05088	0.05852	0.06834	0.0683	0.1868	0.07763	0.05873	0.07737	0.1139	0.0553	0.05997	0.0639	0.07222	0.05302	0.03464	0.05358	0.03391	0.06517	0.03182	0.04125	0.08272	0.0573	0.08099	0.05662	0.04882	0.07534	0.07215	0.03941	0.0391	0.1475	0.05941	0.05349	0.1037	0.06764	0.09999	0.07085	0.05944	0.06136	0.04657	0.04876	0.03873	0.06649
MYC	0.05638	0.08728	0.05809	0.0677	0.1028	0.06824	0.05552	0.07013	0.05556	0.05534	0.06457	0.05536	0.06332	0.1427	0.09137	0.03896	0.07148	0.06745	1	0.3258	0.06067	0.0694	0.05778	0.1166	0.06147	0.1488	0.0606	0.0639	0.03811	0.05371	0.06178	0.0883	0.08115	0.07335	0.07593	0.0749	0.07495	0.06052	0.09671	0.06622	0.05464	0.07747	0.1105	0.07428	0.1171	0.06199	0.06653	0.05799	0.05466	0.06424	0.1387	0.04995	0.07205	0.1003	0.09436	0.0413	0.07262	0.06494	0.08162	0.03848	0.05509	0.06036	0.04733	0.05062	0.05375	0.05082	0.07361	0.06104	0.08423	0.06993	0.04422	0.06493	0.06736	0.04464	0.03879	0.1127	0.05916	0.03825	0.07674	0.06347	0.07174	0.04956	0.06357	0.06782	0.07876	0.05406	0.04781	0.09212
MYCN	0.05099	0.07981	0.05453	0.06025	0.06331	0.05897	0.05208	0.09517	0.05721	0.05591	0.05809	0.04382	0.04862	0.1515	0.07199	0.04399	0.05421	0.05712	0.3186	1	0.08015	0.05527	0.04656	0.08274	0.05197	0.2227	0.07033	0.05803	0.06823	0.05406	0.06047	0.08306	0.07372	0.07145	0.06937	0.07578	0.08838	0.06108	0.08142	0.05364	0.05434	0.1001	0.1413	0.1343	0.127	0.05864	0.07169	0.04911	0.06109	0.04138	0.1063	0.04962	0.0651	0.08255	0.07959	0.05281	0.06259	0.06118	0.1094	0.0566	0.07335	0.05537	0.06044	0.04231	0.04006	0.0338	0.0574	0.0635	0.06511	0.06927	0.0531	0.04405	0.05544	0.05166	0.03811	0.1125	0.06021	0.03244	0.07589	0.04338	0.06332	0.07067	0.06076	0.0537	0.05208	0.05978	0.03088	0.06752
NDN	0.08211	0.07975	0.05996	0.1081	0.1073	0.1452	0.05802	0.0976	0.07052	0.0616	0.1025	0.08916	0.06972	0.06894	0.08595	0.06655	0.07877	0.0829	0.0621	0.06925	1	0.07062	0.06469	0.1012	0.06364	0.2317	0.07158	0.06484	0.1238	0.08552	0.09507	0.08893	0.06776	0.09613	0.05179	0.0784	0.1265	0.07352	0.0567	0.05242	0.1016	0.1823	0.1221	0.138	0.07156	0.07517	0.09165	0.04824	0.125	0.1263	0.1864	0.06129	0.08293	0.08817	0.1168	0.08579	0.1006	0.06311	0.07985	0.09678	0.08166	0.1635	0.1066	0.1358	0.1462	0.1541	0.09138	0.1057	0.0918	0.1869	0.08451	0.08082	0.1008	0.07327	0.07841	0.131	0.1008	0.06994	0.1074	0.09575	0.108	0.06802	0.05832	0.1402	0.06749	0.07457	0.07884	0.05532
NFAT5	0.07646	0.0612	0.05964	0.04021	0.05217	0.04923	0.06141	0.05914	0.03072	0.07359	0.07373	0.05344	0.06501	0.07669	0.07229	0.07599	0.06174	0.05338	0.05565	0.05945	0.1191	1	0.2263	0.06671	0.03888	0.1544	0.06072	0.05627	0.03126	0.316	0.3351	0.04561	0.03767	0.04207	0.08509	0.02384	0.07203	0.1204	0.07154	0.05155	0.02816	0.1317	0.0825	0.06782	0.08473	0.02915	0.04431	0.06784	0.08068	0.05965	0.1145	0.0313	0.04876	0.08054	0.07568	0.05052	0.06235	0.03214	0.04028	0.05785	0.02701	0.04101	0.03848	0.04233	0.03751	0.0362	0.03117	0.04432	0.06922	0.06372	0.06231	0.06666	0.04858	0.03522	0.03861	0.09832	0.04978	0.05859	0.08729	0.02626	0.1305	0.04092	0.04021	0.04324	0.03822	0.04843	0.04231	0.08963
NFATC2	0.07009	0.06293	0.05732	0.03796	0.06149	0.05437	0.07958	0.09781	0.03695	0.04711	0.05197	0.08034	0.1084	0.06619	0.05963	0.0676	0.05703	0.0473	0.05676	0.06113	0.1023	0.2292	1	0.05533	0.03988	0.1503	0.04722	0.05626	0.02455	0.2417	0.272	0.04994	0.03842	0.04394	0.08831	0.03042	0.07635	0.127	0.09073	0.04394	0.04361	0.09421	0.09698	0.06506	0.06891	0.03793	0.03982	0.09524	0.05466	0.05858	0.08591	0.03103	0.03733	0.06703	0.06947	0.05254	0.08291	0.03558	0.04859	0.05664	0.03009	0.03351	0.04169	0.03949	0.03456	0.04404	0.03352	0.06101	0.06741	0.04528	0.05201	0.0607	0.03574	0.03201	0.03578	0.0665	0.06118	0.05658	0.1193	0.0325	0.1004	0.04548	0.0518	0.04425	0.03224	0.03882	0.05722	0.07544
NFE2	0.06727	0.06354	0.06041	0.08648	0.06955	0.07101	0.08716	0.0529	0.07157	0.05547	0.07124	0.04177	0.07306	0.1635	0.1026	0.03609	0.0929	0.07312	0.08828	0.07572	0.1012	0.07197	0.05948	1	0.07629	0.2664	0.07247	0.06421	0.05505	0.07519	0.06424	0.09661	0.07352	0.06471	0.07037	0.1166	0.09206	0.07835	0.07661	0.0773	0.06353	0.09026	0.1056	0.1944	0.1491	0.05498	0.07488	0.04268	0.06622	0.08378	0.09581	0.05636	0.09827	0.06394	0.1162	0.06133	0.06555	0.06793	0.07443	0.04361	0.07338	0.08185	0.04512	0.08716	0.09006	0.04863	0.0781	0.0787	0.07008	0.0498	0.07157	0.08225	0.08451	0.0449	0.02357	0.1072	0.07703	0.04776	0.06794	0.03264	0.08334	0.07003	0.07095	0.05578	0.07558	0.05944	0.03512	0.06854
NR3C2	0.0683	0.06634	0.04747	0.04261	0.04976	0.05147	0.08198	0.07532	0.05518	0.08421	0.06783	0.0587	0.05828	0.08171	0.08385	0.04571	0.07001	0.05042	0.05946	0.05999	0.06789	0.03326	0.041	0.0765	1	0.1723	0.0485	0.3789	0.06226	0.04883	0.04408	0.05485	0.04392	0.04451	0.07629	0.03847	0.09155	0.03338	0.07801	0.03631	0.03508	0.152	0.1351	0.1174	0.08554	0.0447	0.03878	0.04056	0.04993	0.07376	0.1323	0.06498	0.0392	0.07433	0.1383	0.05895	0.073	0.03794	0.04161	0.06898	0.03117	0.04247	0.03788	0.05728	0.0307	0.04716	0.04155	0.06272	0.1027	0.04841	0.05678	0.04982	0.07805	0.03633	0.05515	0.1175	0.3368	0.07053	0.08147	0.07583	0.08016	0.04349	0.04072	0.4188	0.03861	0.042	0.07862	0.1051
NUPR1	0.1504	0.2013	0.1	0.1202	0.09549	0.2322	0.1401	0.1194	0.2636	0.1944	0.1861	0.1571	0.0712	0.1738	0.2034	0.1651	0.1655	0.1773	0.1415	0.1324	0.1459	0.1869	0.1503	0.1873	0.1605	1	0.1735	0.1381	0.261	0.154	0.1438	0.2402	0.1221	0.1732	0.1557	0.1648	0.1608	0.1626	0.09174	0.1625	0.146	0.1384	0.1565	0.3341	0.1672	0.1725	0.1609	0.1481	0.2131	0.1924	0.1038	0.09369	0.1647	0.1743	0.1556	0.1608	0.1794	0.155	0.2244	0.1186	0.1999	0.1241	0.1949	0.1529	0.1491	0.2108	0.26	0.1613	0.1484	0.2107	0.1667	0.2011	0.212	0.1401	0.1702	0.1596	0.1629	0.1371	0.1125	0.1518	0.169	0.1408	0.18	0.2116	0.2024	0.1666	0.1591	0.1392
PLAG1	0.08515	0.09518	0.06441	0.08471	0.06501	0.06121	0.05735	0.3194	0.08502	0.0624	0.1574	0.08655	0.07634	0.09489	0.2844	0.02875	0.07894	0.08304	0.07092	0.04798	0.06519	0.06216	0.05172	0.05799	0.06123	0.1762	1	0.06664	0.04652	0.08577	0.05167	0.0519	0.1183	0.04853	0.08073	0.06785	0.08393	0.06352	0.09006	0.166	0.05558	0.1135	0.1092	0.0882	0.06792	0.07258	0.0547	0.04515	0.0725	0.06275	0.1312	0.05038	0.0612	0.07158	0.1368	0.06049	0.06085	0.05712	0.07384	0.04139	0.06121	0.08853	0.04698	0.06441	0.05923	0.06823	0.2568	0.06503	0.05262	0.06708	0.05631	0.06492	0.08405	0.03645	0.04539	0.1114	0.06292	0.06235	0.07883	0.03947	0.06755	0.0616	0.1086	0.05897	0.06559	0.0551	0.04016	0.0828
RARB	0.07434	0.06212	0.04403	0.07546	0.1035	0.05008	0.0774	0.06853	0.05218	0.09059	0.05909	0.05659	0.07496	0.1086	0.08342	0.111	0.097	0.05392	0.06372	0.06219	0.09316	0.06624	0.04358	0.07524	0.3665	0.1143	0.06038	1	0.1017	0.05754	0.05403	0.08501	0.07117	0.07102	0.07795	0.0496	0.08137	0.07889	0.06163	0.04874	0.07266	0.1093	0.1531	0.1209	0.07411	0.09359	0.08703	0.0542	0.04814	0.07785	0.1309	0.09696	0.06166	0.08576	0.1228	0.0445	0.04816	0.09488	0.03965	0.1002	0.05723	0.06912	0.05996	0.07327	0.05549	0.07677	0.05246	0.06365	0.117	0.06573	0.101	0.1065	0.04117	0.06744	0.06104	0.1232	0.4434	0.07109	0.1122	0.0614	0.09179	0.107	0.06882	0.5007	0.07166	0.05122	0.09151	0.07927
RB1	0.04769	0.03688	0.06463	0.04608	0.04862	0.05224	0.04435	0.07273	0.03161	0.07634	0.05509	0.04477	0.07841	0.104	0.08256	0.0584	0.0855	0.0696	0.05929	0.04669	0.0489	0.02831	0.0261	0.08685	0.06033	0.1699	0.05756	0.1027	1	0.03034	0.04433	0.08183	0.04126	0.05401	0.08779	0.02816	0.08052	0.04888	0.07875	0.03734	0.02178	0.137	0.1015	0.1193	0.06462	0.07603	0.02435	0.03525	0.04082	0.08275	0.156	0.07539	0.02753	0.06907	0.1491	0.04753	0.04202	0.02657	0.05034	0.08629	0.05211	0.06676	0.02473	0.0611	0.05993	0.05232	0.03042	0.03872	0.1036	0.04999	0.05108	0.08643	0.04267	0.03664	0.02634	0.1004	0.09583	0.07992	0.1017	0.06207	0.08337	0.07329	0.0259	0.1183	0.04751	0.04526	0.132	0.04269
