,TF,index
293,AATF,596
294,NRIP1,597
295,APEX1,600
296,ENO1,601
297,EGR1,602
298,BRCA2,604
299,SMARCE1,605
300,HIST1H1B,615
301,DRAP1,616
302,ZNF91,618
303,TRIP13,619
304,DEDD,620
305,SUV39H2,621
306,KLF3,624
307,POU2F1,626
308,GRHL1,627
309,ESPL1,629
310,POLR2L,632
311,LIN28A,637
312,ZNRD1,638
313,JAZF1,645
314,CREB3L3,646
315,LHX1,648
316,YAF2,653
317,ZIC3,656
318,MLXIPL,658
319,CREB3L2,661
320,ZFP36,667
321,COPS5,668
322,HNRNPUL1,670
323,PEG3,671
324,ATF3,672
325,MCM4,676
326,GATA4,681
327,TBX3,683
328,GTF2F2,685
329,GTF2I,688
330,PTMA,693
331,ERCC8,695
332,SRSF3,696
333,GATA5,697
334,TGIF2,699
335,JAG1,700
336,STAT2,701
337,ID2,702
338,NR5A2,707
339,SSRP1,709
340,SRRM1,710
341,SNRPD1,711
342,GABPB1,712
343,POLR2G,715
344,TIMELESS,717
345,TARBP2,720
346,MED4,721
347,MYBBP1A,724
348,YBX1,726
349,ZNF217,728
350,DDX54,729
351,GATAD2B,731
352,HMGA2,733
353,TEAD4,735
354,DPF2,738
355,HNF4A,740
356,DOT1L,742
357,RARG,743
358,JUND,746
359,CBX3,747
360,SP100,749
361,TCF25,752
362,NFATC2,753
363,SALL3,754
364,TRIM22,755
365,E2F5,757
366,IVNS1ABP,763
367,PRDM1,764
368,IRF3,766
369,ZNF766,767
370,KNTC1,769
371,MAPK1,773
372,GTF3C2,777
373,NFKBIZ,784
374,ZNF239,785
375,ING1,790
376,HMGA1,791
377,ZBTB3,793
378,HIF1AN,796
379,SUB1,797
380,RBMX,799
381,GEMIN2,803
382,NSD1,805
383,HIF3A,808
384,E2F4,809
385,MXD1,817
386,KDM4C,818
387,DNMT3A,823
388,PBX1,825
389,CEBPA,826
390,HMGN2,827
391,GATA6,829
392,PTTG1,830
393,MYC,833
394,EEF1A1,835
395,HCFC1,836
396,TRIM25,837
397,THAP1,840
398,RUNX1T1,842
399,BCL11A,846
400,POLR1E,852
401,CDKN1A,854
402,HNRNPD,859
403,TEAD2,860
404,ETV1,861
405,ELF1,863
406,TAF1B,866
407,SERTAD3,870
408,RAD51,871
409,PDCD11,872
410,ZNF670,875
411,TFAP2C,878
412,ZNF675,880
413,TCOF1,881
414,BRCA1,882
415,ZNF300,883
416,TRIM27,887
417,TOPORS,890
418,SNRPB,893
419,SMARCA4,895
420,POLR2K,897
421,KLF5,898
422,HMGB2,899
423,TCFL5,902
424,F2,903
425,ILF3,906
426,POU5F1,907
427,SNAPC1,911
428,DEK,912
429,ILF2,913
430,SMAD2,917
431,CREB1,918
432,NONO,919
433,IRF1,920
434,RUVBL2,922
435,ZNF33A,923
436,NANOG,927
437,FOXA2,933
438,THRAP3,934
439,BPTF,935
440,IRF9,936
441,HIST1H1C,938
442,ORC2,940
443,PMS1,941
444,EIF5B,942
445,RBM39,944
446,TAF11,946
447,ETS1,947
