"TF","Target","pred_prob"
"IRF4","TCERG1",0.4658672
"ATF4","TRP53",0.46360824
"BATF3","CASP1",0.46352717
"IRF1","CXCL16",0.46231806
"IRF1","SLAMF7",0.4622713
"BATF3","MALT1",0.46152225
"IRF4","RASGEF1B",0.4602138
"BATF3","DDX5",0.46004975
"EGR1","EMP3",0.45848492
"SUMO2","RPS20",0.45551595
"ATF4","NFE2L2",0.4552489
"RELA","CASP1",0.45404783
"BATF3","NAGA",0.45201108
"RELA","CTSC",0.451281
"RELA","CNOT8",0.4506777
"RELA","TAGLN2",0.45033905
"BATF3","CD48",0.45010665
"IRF1","PTPN2",0.44914517
"ATF4","P2RY14",0.44851
"IRF4","TGIF1",0.44681907
"ATF4","RPL21",0.44448176
"RELA","PSME1",0.44402653
"ATF4","MS4A6D",0.44369248
"IRF4","SPP1",0.44292396
"RELA","TUBB6",0.44078845
"ATF4","SOD2",0.43941775
"BATF3","MPEG1",0.43689328
"IRF1","ATF6",0.43623894
"IRF4","GBP6",0.43606278
"IRF1","BCL2A1D",0.43181726
"IRF4","TNFAIP2",0.43008107
"STAT1","BCL2A1D",0.42981148
"RELA","RASGEF1B",0.4294812
"ATF4","DPF2",0.42873457
"IRF4","ITGB2",0.42763954
"SUMO2","POLR2I",0.4274536
"SUMO2","TBCB",0.4266015
"IRF1","CD68",0.42555007
"BATF3","CDKN1A",0.42494535
"ATF4","BCL2A1A",0.42359912
"IRF4","ATP6V0B",0.42278755
"BATF3","ATP6AP2",0.4226654
"ATF4","PTP4A1",0.42225334
"BATF3","CDC42",0.42151284
"RELA","MMP12",0.42053616
"ATF4","UBE2K",0.41738588
"RELA","ARF4",0.417346
"IRF4","SLFN2",0.4163275
"IRF4","LGALS3",0.41624305
"RELA","MT2",0.41589752
"ATF4","NAMPT",0.4151557
"ATF4","B2M",0.4141293
"STAT1","TAGLN2",0.412848
"IRF4","VIM",0.41280207
"IRF4","LYZ1",0.4123762
"IRF4","ATF6",0.41147643
"IRF4","BLVRB",0.41055182
"CTCF","RPL23",0.4084704
"IRF4","LCP1",0.4071393
"ATF4","VIM",0.4066386
"IRF1","CTSC",0.40662354
"ATF4","TRIM30A",0.40598217
"ATF4","RUNX1",0.4053045
"RELA","CSF2RB",0.4043521
"RELA","PTPN2",0.40363604
"STAT1","ATP6V1D",0.40263858
"IRF1","VPS28",0.40198913
"RELA","PNP",0.4019325
"BATF3","CD74",0.40146407
"ATF4","SLC2A6",0.39886066
"IRF1","DDX5",0.3983021
"ATF4","CHMP2A",0.39805984
"IRF1","SLFN2",0.39724565
"BATF3","CD68",0.3962172
"BATF3","H2-K1",0.39595103
"BATF3","BCAP31",0.39532137
"ATF4","TMEM219",0.39501864
"ATF4","RAP1B",0.39474085
"STAT1","CXCL16",0.39429668
"IRF4","IL2RG",0.39377442
"ATF4","LYZ1",0.39355427
"ATF4","IQGAP1",0.392043
"IRF4","SNX10",0.39091954
"IRF1","GYG",0.39032534
"IRF4","TFEC",0.3899556
"IRF4","SIRT2",0.38951382
"ATF4","IFITM3",0.38856742
"STAT1","TMEM208",0.38783172
"RELA","CD68",0.38744295
"IRF4","CLK1",0.38589105
"ATF4","TBPL1",0.38566616
"RELA","ITM2B",0.38430628
"RELA","ASAH1",0.38393408
"SUMO2","RPL37A",0.38341114
"ATF4","SRRM1",0.38135847
"IRF4","SEC61B",0.38131475
"ATF4","SSR4",0.37894517
"ATF4","SPP1",0.37764907
"IRF1","MAPK1",0.37655437
"ATF4","PSMA2",0.37643513
"BATF3","ARF4",0.3758413
"STAT1","PSME2",0.374238
"IRF1","TUBA1B",0.37398914
"IRF1","CYTIP",0.3725136
"IRF4","RHOG",0.37216917
"BATF3","ZEB2",0.36973584
"BATF3","PTP4A2",0.36936873
"IRF4","PSMA2",0.3669844
"BATF3","S100A6",0.36635578
"BATF3","LCP1",0.3659234
"ATF4","PTPRC",0.36547312
"IRF4","CD14",0.36490625
"STAT1","SRI",0.36401555
"ATF4","EWSR1",0.36327925
"IRF4","SLC3A2",0.36300403
"IRF1","KHDRBS1",0.36170125
"CTCF","RPL19",0.3613034
"STAT3","CLEC4N",0.35969055
"IRF1","CSDE1",0.35968125
"IRF4","VDAC2",0.35953587
"BATF3","SLAMF9",0.3591959
"IRF4","ARL6IP5",0.3591574
"IRF4","PNP",0.3586454
"IRF4","BST2",0.35685968
"IRF4","MRC1",0.35680285
"BATF3","POLD4",0.35666046
"RELA","BST2",0.3543585
"RELA","DPF2",0.35381112
"STAT3","HSP90AB1",0.35346612
"STAT3","GPX1",0.35325968
"BATF3","CSDE1",0.35285175
"RELA","IRF5",0.35266244
"ATF4","DPYSL2",0.35224432
"ATF4","CHMP5",0.35177904
"ATF4","SERPINB6A",0.35157785
"BATF3","ATP6V1B2",0.35144722
"RELA","KHDRBS1",0.35098836
"BATF3","TRIM30A",0.35043055
"BATF3","BST2",0.3465751
"STAT3","CALM1",0.34645957
"BATF3","GBP6",0.34567168
"IRF1","IGSF6",0.34562397
"ATF4","EHMT1",0.34543446
"IRF1","EIF5A",0.34533784
"STAT3","SUB1",0.3421897
"ATF4","MRFAP1",0.34207052
"RELA","MPEG1",0.34156954
"ATF4","PSMA3",0.34124845
"BATF3","PTPN2",0.3405145
"ATF4","CIITA",0.33992982
"STAT1","ARL8B",0.33923033
"BATF3","CSF2RB",0.33795863
"SUMO2","CACYBP",0.33730173
"BATF3","CD14",0.33705398
"RELA","DDX5",0.33687815
"ATF4","PSMB10",0.33681685
"BATF3","BACH1",0.33611205
"RELA","NAPSA",0.33609918
"ATF4","UBE2L6",0.33545172
"RELA","ACTR2",0.33508545
"BATF3","VTA1",0.33488986
"ATF4","ZFP91",0.33324167
"ATF4","WBP11",0.33251825
"RELA","IL7R",0.33225805
"ATF4","CFLAR",0.3321354
"ATF4","HIF1A",0.3315365
"ATF4","BZW1",0.33127385
"IRF1","ZFP91",0.3303774
"BATF3","NCF4",0.33000186
"ATF4","UBB",0.32907203
"IRF1","PLEK",0.3287666
"STAT1","TBRG1",0.32835147
"ATF4","PSMA1",0.3279118
"ATF4","TBCB",0.32726824
"STAT1","CASP1",0.32697013
"IRF4","SHISA5",0.32610297
"BATF3","EIF5A",0.32547385
"IRF1","BCL2A1A",0.32447782
"STAT1","PSME1",0.3243472
"ATF4","NCK1",0.32381666
"SUMO2","RPL23",0.32252634
"IRF4","EIF5A",0.32175514
"IRF1","SKAP2",0.32163286
"ATF4","TAPBP",0.3199025
"BATF3","MYD88",0.31938377
"RELA","BIN1",0.31913996
"STAT1","BCL2A1A",0.3179484
"ATF4","LGALS3BP",0.31738454
"ATF4","SHISA5",0.31732664
"ATF4","H2-K1",0.31559584
"IRF1","RAC2",0.31553078
"ATF4","CTSS",0.31518158
"ATF4","TNFAIP2",0.31515566
"ATF4","DNMT1",0.31506673
"SUMO2","RPL11",0.3143854
"RELA","HIF1A",0.3134943
"ATF4","COX7A2L",0.31266743
"STAT1","HDAC1",0.3125536
"IRF4","CXCL2",0.3123744
"RELA","SPCS1",0.31081474
"ATF4","VDAC2",0.31078517
"ATF4","DYNLT1B",0.31070676
"CTCF","JUNB",0.31009164
"SUMO2","RPS25",0.3100287
"IRF1","SP1",0.30995542
"ATF4","TCERG1",0.30976632
"MAFF","EMP3",0.30943108
"SUMO2","RPS15",0.30877817
"ATF4","LYZ2",0.30792478
"ATF4","TARDBP",0.3078112
"STAT3","UCP2",0.30708712
"IRF4","GOLT1B",0.3061283
"ATF4","COPS5",0.30493507
"ATF4","TMEM128",0.30478838
"STAT1","CFLAR",0.3039661
"IRF1","MT2",0.30392024
"ATF4","PRDX5",0.30319285
"IRF1","CHMP5",0.30230984
"STAT3","LYZ2",0.30230963
"ATF4","ENO1",0.30192223
"RELA","SLC3A2",0.30156592
"ATF4","GABARAPL2",0.29920772
"IRF4","ATP5G2",0.2991149
"MAFF","NAAA",0.2986757
"CTCF","RPL9",0.29819715
"RELA","RNH1",0.29797733
"ATF4","BANF1",0.29793784
"IRF1","IFRD1",0.2976696
"ATF4","ITGB2",0.29736596
"ATF4","PSAP",0.2969561
"IRF4","MRPL14",0.29686818
"IRF1","TFEC",0.2966316
"RELA","CTSS",0.29649028
"SUMO2","RPS19",0.29641905
"RELA","UQCRQ",0.2948476
"ATF4","RPL24",0.29459354
"BATF3","RFX7",0.29402855
"SUMO2","RPL38",0.29354504
"STAT1","TNFRSF1B",0.2926689
"STAT3","GTF2B",0.29196605
"ATF4","ATP6V0B",0.29090834
"SUMO2","RPL36",0.28902155
"STAT3","PSMB9",0.28879914
"ATF4","SQSTM1",0.28852564
"ATF4","GADD45B",0.2885123
"STAT3","EIF3I",0.2882935
"STAT1","SOD2",0.28814065
"IRF1","RPSA",0.28756374
"IRF4","GLRX",0.28754354
"IRF4","ING1",0.28738698
"RELA","CFLAR",0.2854119
"IRF1","VTA1",0.28527287
"BATF3","BLVRB",0.2849063
"ATF4","PRDX2",0.28474596
"SUMO2","RPL37",0.28452307
"BATF3","IL1B",0.28319806
"ATF4","SKAP2",0.28298858
"ATF4","ATP1B3",0.28290984
"STAT3","ATF4",0.28288618
"IRF1","HNRNPC",0.28098086
"IRF4","CTSS",0.28066534
"STAT3","BIRC5",0.2804836
"BATF3","TNF",0.2803135
"STAT1","VPS28",0.2800272
"IRF1","ING1",0.2794365
"BATF3","VPS25",0.27879533
"BATF3","SNX3",0.27873093
"ATF4","TLR4",0.2787026
"ATF4","CREB3",0.27863225
"IRF4","UBE2L6",0.27855098
"ATF4","SDCBP",0.27844468
"STAT3","PPIB",0.27842218
"RELA","TRIM30A",0.27841082
"STAT3","MTHFS",0.27813354
"ATF4","SPCS1",0.27785113
"ATF4","PSMA7",0.27781287
"BATF3","RASGEF1B",0.27753007
"BATF3","B2M",0.2769415
"ATF4","POLR2A",0.27682018
"RELA","TCF12",0.27654642
"ATF4","PSMA5",0.27648205
"BATF3","TMBIM6",0.2757827
"IRF4","SP1",0.27532482
"SUMO2","ATF3",0.2750336
"STAT1","DEK",0.27493
"IRF4","UBTF",0.27461734
"SUMO2","RPS26",0.27353108
"RELA","FCER1G",0.27296942
"SUMO2","RPS14",0.27283028
"ATF4","CAPZB",0.27249143
"ATF4","H3F3B",0.2719407
"STAT3","KDM5A",0.271394
"RELA","RNASEK",0.27082938
"IRF1","SLC3A2",0.27050385
"STAT3","HNRNPAB",0.26996443
"ATF4","SP1",0.26911855
"IRF4","CFLAR",0.26851496
"STAT3","NCF1",0.26828572
"ATF4","HHEX",0.26791793
"CTCF","RPS8",0.2679053
"RELA","RBBP7",0.2678143
"SUMO2","RPL35",0.26761717
"SUMO2","FKBP2",0.26743752
"ATF4","AP2M1",0.26736313
"IRF4","RBM7",0.26587048
"RELA","DAP",0.2654479
"ATF4","PSMA4",0.26519692
"BATF3","TOMM5",0.2651728
"BATF3","NAAA",0.2651306
"RELA","KLK1B11",0.26444194
"STAT3","H3F3B",0.26381433
"ATF4","SRP19",0.26341107
"BATF3","EMP3",0.26321587
"ATF4","VTA1",0.26315784
"ATF4","IER3",0.26291212
"ATF4","ATP6V0C",0.2627737
"STAT3","SP100",0.26223254
"ATF4","RBM7",0.26210436
"RELA","NAAA",0.26210183
"ATF4","ALAS1",0.26209518
"STAT3","SAMHD1",0.26181474
"RELA","PSMB8",0.26161772
"BATF3","CLEC4A3",0.26125792
"STAT1","UBE2L6",0.26093334
"ATF4","TCOF1",0.260449
"ATF4","FOS",0.26022723
"IRF4","PTP4A1",0.25978884
"CTCF","RPS11",0.2596125
"SUMO2","RPL32",0.25949472
"STAT3","SRSF3",0.25921443
"BATF3","TCF12",0.2590588
"STAT3","TMSB4X",0.25903624
"IRF4","F10",0.2585721
"STAT3","CTNNB1",0.258414
"CTCF","RPS7",0.25832626
"ATF4","ARF4",0.2580762
"STAT3","TSG101",0.25673148
"STAT1","H2-T23",0.2565898
"BATF3","LITAF",0.25614473
"RELA","PLIN2",0.25604048
"ATF4","MRPL42",0.25573245
"ATF4","MYL12B",0.25559434
"RELA","CLEC4A2",0.25540182
"BATF3","CYBA",0.25503436
"RELA","YEATS4",0.25478566
"IRF1","HIF1A",0.25472006
"IRF4","IFITM3",0.254446
"IRF1","BCL2A1B",0.25297686
"ATF4","HNRNPC",0.2526966
"ATF4","RNASEK",0.25183532
"RELA","IL1A",0.25107017
"ATF4","SNRPE",0.2510025
"SUMO2","TCOF1",0.25093174
"CTCF","NDUFS7",0.25053856
"ATF4","CCDC12",0.25047553
"STAT3","FAM162A",0.25024486
"SUMO2","RPL19",0.24967311
"ATF4","RGS1",0.24939114
"STAT3","THRAP3",0.2489902
"ATF4","LAPTM5",0.24897337
"IRF4","RPL24",0.24866676
"STAT3","RPL41",0.24854505
"CTCF","MCM3",0.24846348
"STAT3","TOB1",0.24756356
"RELA","ERP29",0.24702895
"IRF1","RUNX1",0.2469452
"ATF4","PREB",0.24689409
"CTCF","RPS28",0.24633531
"ATF4","ARL6IP1",0.24600294
"RELA","HHEX",0.24579783
"ATF4","CYBA",0.24506924
"RELA","JMJD1C",0.24481896
"STAT3","MDH2",0.24251412
"ATF4","MPEG1",0.2424044
"BATF3","PNP",0.24239029
"RELA","TMEM128",0.2422204
"IRF4","CREB3",0.24190356
"IRF4","RPL21",0.24109806
"BATF3","CLEC4E",0.2408493
"RELA","MYL12B",0.24058361
"STAT3","DPY30",0.24024701
"ATF4","ARPC4",0.23991092
"RELA","ZFP36L1",0.23919511
"IRF4","HNRNPC",0.23858574
"SUMO2","UBE2L6",0.23815027
"BATF3","TRP53",0.23805524
"ATF4","NDUFA9",0.23790358
"ATF4","CNOT6",0.23752773
"ATF4","SP100",0.23736472
"STAT3","TNF",0.2367501
"RELA","ZEB2",0.23664507
"ATF4","COX17",0.2359859
"CTCF","RPL8",0.23590223
"RELA","MRPL27",0.23570494
"ATF4","NONO",0.23565899
"IRF1","SP100",0.23564045
"SUMO2","TCERG1",0.23543948
"RELA","CD300LF",0.23528334
"IRF4","TMBIM6",0.23492785
"ATF4","CCT5",0.23486972
"STAT1","RPS29",0.2338193
"STAT1","TANK",0.23376085
"ATF4","SRSF9",0.23356873
"STAT3","SQSTM1",0.23337245
"STAT1","IL1B",0.23269665
"BATF3","ENO1",0.23236111
"BATF3","CCL3",0.23227388
"ATF4","MYL6",0.23214269
"SUMO2","SNAPC5",0.23213328
"IRF4","EWSR1",0.23197307
"IRF4","TAPBP",0.23174453
"ATF4","UQCRH",0.23156025
"STAT3","SLFN2",0.23132482
"STAT3","ZFP36",0.23121251
"ATF4","PPIB",0.23045404
"ATF4","PLK2",0.2296129
"BATF3","SLC39A1",0.22945534
"STAT3","LGALS9",0.22908732
"IRF1","HAX1",0.22908267
"ATF4","NFKBIB",0.22862877
"SUMO2","BOLA2",0.22854373
"ATF4","TAF7",0.2284027
"SUMO2","MCM3",0.22816837
"IRF4","PSMA1",0.22809502
"STAT3","SP1",0.22809102
"IRF4","RGS1",0.22800694
"ATF4","STAT3",0.22751832
"ATF4","CLEC7A",0.22734715
"STAT3","ARL6IP1",0.22719063
"ATF4","PDIA3",0.22692923
"RELA","CDC42",0.22676517
"IRF1","NFKBIA",0.22660214
"STAT1","BHLHE40",0.22653352
"IRF4","SLC39A1",0.2261455
"IRF4","VPS28",0.22609863
"RELA","CLEC4A3",0.22605188
"RELA","GABARAP",0.226017
"RELA","ARHGDIB",0.22592798
"STAT1","EIF5A",0.2256649
"IRF4","PRPF40A",0.22549842
"RELA","RUVBL2",0.22513124
"RELA","BATF3",0.22482294
"STAT1","PABPC1",0.22475015
"RELA","HCLS1",0.22443259
"STAT3","SRSF5",0.22417949
"RELA","SRRM1",0.22380336
"SUMO2","TRP53",0.22368409
"IRF4","CLEC4E",0.223558
"STAT3","ATP1B3",0.22299328
"STAT1","GYG",0.22270718
"CTCF","IMPACT",0.22239487
"BATF3","TLR2",0.22221878
"STAT1","SLC3A2",0.22205135
"STAT1","RAB32",0.22161804
"ATF4","DNAJC8",0.2214772
"STAT3","HIST1H1C",0.2212659
"BATF3","VPS28",0.22092502
"ATF4","ARPC5",0.22088213
"SUMO2","MAFF",0.22072017
"BATF3","PSME1",0.22033638
"IRF4","TRP53",0.21979836
"BATF3","PSMB10",0.21903627
"ATF4","RHOG",0.21890049
"ATF4","UBC",0.21874829
"STAT3","CST3",0.21862705
"IRF4","MCM4",0.2185474
"IRF1","ZEB2",0.21811233
"IRF1","MYD88",0.21807715
"SUMO2","PARK7",0.2180068
"IRF1","CD302",0.21785156
"STAT3","RPS12",0.21737584
"RELA","CREB3",0.21720171
"STAT3","EDF1",0.21655867
"ATF4","SNX2",0.21615426
"RELA","EHMT1",0.21582992
"STAT3","IER3",0.21565995
"STAT3","SNX2",0.21553335
"IRF1","CST3",0.21395607
"STAT1","LMO4",0.2138619
"RELA","MT1",0.21334001
"RELA","EWSR1",0.21325883
"SUMO2","RUVBL2",0.21284768
"SUMO2","NFX1",0.21258739
"ATF4","MED1",0.21234098
"ATF4","LGALS9",0.21214649
"RELA","ITGAX",0.2119826
"IRF4","ACTR2",0.211633
"SUMO2","CCT3",0.2111137
"ATF4","HSP90AB1",0.21074206
"ATF4","PRPF40A",0.21060622
"ATF4","MTHFS",0.21049711
"CTCF","EIF4A1",0.21042742
"STAT1","EWSR1",0.21023881
"ATF4","TCF7L2",0.20909406
"ATF4","MAP1LC3B",0.20882173
"STAT1","CREB3",0.20834173
"STAT1","H2-D1",0.20827535
"STAT1","FCF1",0.20784724
"IRF1","H2-D1",0.20753956
"STAT1","RUNX1",0.20721179
"STAT1","POLR2G",0.20710571
"STAT3","RPS10",0.20684837
"CTCF","HIST1H2BC",0.20678547
"BATF3","TAGLN2",0.20673409
"IRF1","MS4A6D",0.20668332
"STAT1","SLC7A11",0.20615329
"STAT1","COPS5",0.20610474
"IRF1","CNOT8",0.20585978
"ATF4","RPL9",0.20542279
"IRF4","ATP5B",0.20504734
"RELA","SGK1",0.20395164
"IRF4","MYD88",0.20373021
"STAT1","MS4A6D",0.20354556
"STAT3","TRA2B",0.2033527
"CTCF","CCT8",0.20335051
"SUMO2","RHOG",0.20321664
"ATF4","NCF1",0.20286012
"ATF4","FCF1",0.2027797
"ATF4","KHDRBS1",0.20225303
"IRF4","MYL12B",0.20205246
"BATF3","HDAC1",0.20192353
"IRF1","CSF2RB",0.20183265
"ATF4","CTNNB1",0.20180647
"ATF4","DENR",0.20160344
"ATF4","ATP5O",0.2015631
"IRF1","GTF2F1",0.20143567
"ATF4","TES",0.20138904
"IRF4","PSME1",0.20135726
"ATF4","TBXAS1",0.20107462
"BATF3","CD302",0.20086731
"STAT1","MALT1",0.20070142
"STAT3","LGALS3BP",0.19998585
"RELA","CD83",0.19956559
"CTCF","PSMB3",0.19953851
"STAT1","CYTIP",0.19900785
"CTCF","PCNP",0.19891945
"RELA","CNOT6",0.19826624
"STAT1","UQCRH",0.1982421
"RELA","PSMA3",0.19811699
"IRF1","RHOA",0.19807643
"SUMO2","ACTN1",0.1978414
"BATF3","STAT1",0.1976401
"STAT3","COX7C",0.1975186
"SUMO2","POLR2J",0.19736218
"ATF4","CD68",0.19716261
"IRF1","IL7R",0.1970114
"ATF4","TMSB4X",0.19663458
"BATF3","F10",0.19611384
"ATF4","ATPIF1",0.19568777
"STAT1","CNOT6",0.19535734
"IRF4","SPCS1",0.1950988
"STAT1","PSMA3",0.19486149
"SUMO2","SRSF9",0.19478305
"IRF1","RPL24",0.19475198
"STAT1","COX17",0.19461708
"STAT1","PRDX6",0.19401544
"CTCF","RPS25",0.19367653
"IRF1","IER3",0.1936029
"STAT3","CXCL2",0.19355819
"STAT1","PSMA5",0.19353388
"IRF1","TREM2",0.19316927
"STAT3","SDHC",0.19302398
"IRF1","CLEC4E",0.19290812
"SUMO2","RPL18A",0.19279055
"SUMO2","BCL2A1C",0.19262761
"RELA","FCGR3",0.19262211
"BATF3","IQGAP1",0.19247502
"SUMO2","IFRD1",0.19242188
"ATF4","POLDIP3",0.19236612
"ATF4","CXCL16",0.19200869
"ATF4","SIRT2",0.19195858
"STAT1","AKR1B3",0.19148128
"BATF3","AKR1B3",0.19119613
"IRF1","SQSTM1",0.19084981
"CTCF","ACTR3",0.19049877
"IRF1","ITM2B",0.19047397
"BATF3","TNIP3",0.19005676
"ATF4","TMEM147",0.18933845
"ATF4","MCM4",0.18910453
"BATF3","CCNL1",0.18898213
"IRF4","COPS5",0.18897875
"IRF4","CD302",0.18897656
"BATF3","MAFF",0.1888749
"CTCF","TAF7",0.18881479
"SUMO2","RPLP0",0.18866096
"ATF4","RPS25",0.18857493
"STAT1","SRP19",0.18838874
"IRF4","UBC",0.1882466
"IRF4","BIN1",0.1881447
"IRF4","RNASEK",0.1879559
"ATF4","IL7R",0.18793526
"ATF4","CD53",0.1877527
"IRF1","ACTR2",0.18756104
"IRF4","TCF7L2",0.18752778
"ATF4","MRPL27",0.18732917
"IRF1","CTSZ",0.18723723
"STAT1","CACYBP",0.18719831
"ATF4","PARK7",0.18701187
"STAT1","PRDX2",0.18699688
"SUMO2","JUN",0.18647799
"ATF4","AEBP2",0.18643646
"STAT1","NFKBIB",0.18604049
"RELA","LAT2",0.1858124
"BATF3","LEPROT",0.18542178
"CTCF","RPL6",0.18540874
"ATF4","IRF1",0.1848186
"SUMO2","PSMD8",0.18467928
"RELA","VTA1",0.18461548
"BATF3","BIN1",0.18456282
"STAT1","TMEM128",0.18452004
"ATF4","PSMB9",0.18443756
"STAT1","NR3C1",0.18396056
"ATF4","TRAPPC4",0.1839477
"SUMO2","POLR2C",0.1839396
"RELA","STAT1",0.18324272
"ATF4","COX7C",0.18315807
"SUMO2","SRP19",0.18300372
"SUMO2","DYNLL1",0.18299079
"RELA","TRP53",0.18297362
"RELA","ATPIF1",0.18280363
"ATF4","NRAS",0.18277755
