	ELF1	ESR1	FOXO1	GATA2	GFI1B	HMGB2	HOXA9	IKZF1	IRF8	MEF2C	MEIS1	MYC	NDN	NOTCH1	NR3C2	PBX1	PGR	REL	RUNX1T1	RUNX2	SATB1	SPI1	VDR	YBX1	CBFB	HDAC7	HLF	HNF4A	IRF6	MAML3	MCM4	MCM7	MECOM	MYCN	RARB	TEAD2	XRCC6
MEIS1	0.08422	0.06195	0.07939	0.05549	0.06102	0.1303	0.209	0.06859	0.04871	0.05149	1	0.1044	0.07877	0.04485	0.0797	0.1462	0.0624	0.05918	0.09354	0.08931	0.1205	0.1177	0.104	0.07597	0.1399	0.07122	0.09219	0.111	0.05318	0.105	0.0637	0.07798	0.07848	0.09528	0.08201	0.0951	0.05656
MYC	0.05809	0.0709	0.06824	0.05552	0.07013	0.09436	0.1357	0.06457	0.05536	0.05729	0.07148	1	0.06067	0.06348	0.06147	0.06493	0.05183	0.05371	0.0883	0.06408	0.07335	0.07495	0.06782	0.09671	0.1105	0.07205	0.1003	0.05974	0.0413	0.08162	0.04733	0.05082	0.07361	0.3258	0.0639	0.07455	0.05406
NDN	0.05996	0.06192	0.1452	0.05802	0.0976	0.1168	0.06556	0.1025	0.08916	0.07243	0.07877	0.0621	1	0.05166	0.06364	0.08082	0.08478	0.08552	0.08893	0.1138	0.09613	0.1265	0.1402	0.0567	0.1221	0.08293	0.08817	0.06841	0.08579	0.07985	0.1066	0.1541	0.09138	0.06925	0.06484	0.0925	0.07457
NOTCH1	0.07174	0.03907	0.0694	0.04889	0.07681	0.07964	0.0786	0.09154	0.04503	0.06168	0.09009	0.05713	0.04952	1	0.0319	0.071	0.02941	0.03908	0.05326	0.0413	0.052	0.0784	0.09503	0.07218	0.1021	0.03271	0.0716	0.07896	0.04221	0.04106	0.03192	0.0288	0.05128	0.05404	0.08876	0.07212	0.03096
NR3C2	0.04747	0.3667	0.05147	0.08198	0.07532	0.1383	0.1131	0.06783	0.0587	0.05382	0.07001	0.05946	0.06789	0.03549	1	0.04982	0.3148	0.04883	0.05485	0.0577	0.04451	0.09155	0.4188	0.07801	0.1351	0.0392	0.07433	0.3878	0.05895	0.04161	0.03788	0.04716	0.04155	0.05999	0.3789	0.05239	0.042
PBX1	0.04952	0.08415	0.05336	0.04948	0.06921	0.1409	0.211	0.05392	0.05201	0.05453	0.1487	0.05254	0.08082	0.04199	0.05638	1	0.0489	0.05663	0.0915	0.05536	0.1191	0.06961	0.05528	0.06598	0.105	0.06217	0.06576	0.09048	0.05172	0.07557	0.04596	0.09594	0.0575	0.05251	0.05571	0.09898	0.04905
PGR	0.06563	0.3678	0.05554	0.08244	0.08121	0.1451	0.08641	0.05916	0.03638	0.05302	0.09265	0.05338	0.05984	0.02807	0.3148	0.04816	1	0.04456	0.04269	0.03997	0.05326	0.1055	0.4343	0.07516	0.1006	0.04645	0.08886	0.4144	0.04252	0.04197	0.0333	0.04767	0.04789	0.06595	0.3882	0.05767	0.04045
REL	0.04755	0.04871	0.04461	0.05077	0.08171	0.1153	0.07716	0.05259	0.09164	0.06468	0.06185	0.06923	0.08097	0.0373	0.04762	0.05984	0.06273	1	0.04749	0.1238	0.05011	0.07169	0.04895	0.09547	0.168	0.05087	0.07243	0.05482	0.05117	0.05918	0.05666	0.05802	0.06917	0.06317	0.05013	0.08547	0.05261
RUNX1T1	0.06305	0.04111	0.05509	0.04857	0.0915	0.1079	0.07753	0.04483	0.04285	0.05839	0.09354	0.07681	0.09893	0.04093	0.05788	0.08249	0.04107	0.03671	1	0.04238	0.07172	0.06593	0.08946	0.07575	0.1208	0.04498	0.1497	0.06268	0.05185	0.1141	0.04489	0.05764	0.0504	0.1028	0.06177	0.08271	0.04036
RUNX2	0.05428	0.0542	0.04865	0.05863	0.05391	0.07547	0.08607	0.05673	0.08999	0.0642	0.05822	0.06079	0.08609	0.04838	0.06458	0.06462	0.05632	0.07592	0.04555	1	0.04223	0.09145	0.06951	0.1363	0.09452	0.04662	0.07012	0.07	0.04586	0.06924	0.04976	0.03834	0.04624	0.06687	0.04412	0.1279	0.03987
SATB1	0.06821	0.06371	0.05178	0.06387	0.06865	0.1546	0.1902	0.07676	0.05364	0.07305	0.1335	0.05793	0.07556	0.02193	0.05226	0.1281	0.0472	0.0471	0.07075	0.05964	1	0.07484	0.09071	0.05468	0.1031	0.04774	0.0867	0.05003	0.07317	0.04877	0.03482	0.04742	0.04603	0.0573	0.08429	0.06475	0.04741
SPI1	0.3067	0.071	0.07183	0.07828	0.09664	0.09005	0.09097	0.09623	0.2406	0.06911	0.1343	0.09863	0.125	0.06949	0.07544	0.1019	0.111	0.09614	0.079	0.09145	0.1024	1	0.05606	0.07636	0.06172	0.08424	0.06466	0.06381	0.2406	0.1055	0.0676	0.1811	0.08768	0.09764	0.08452	0.06816	0.1145
VDR	0.04423	0.4045	0.05945	0.06795	0.06185	0.1208	0.08933	0.07239	0.03585	0.06763	0.1121	0.08813	0.1398	0.1015	0.4188	0.1058	0.4339	0.05205	0.08956	0.05186	0.08611	0.09689	1	0.06515	0.1622	0.0772	0.08747	0.4745	0.0491	0.06607	0.07212	0.0757	0.07646	0.06472	0.5007	0.07615	0.05481
YBX1	0.0805	0.06999	0.08412	0.07473	0.07892	0.1226	0.08193	0.07318	0.05876	0.09407	0.06381	0.079	0.07817	0.06516	0.08568	0.05623	0.07072	0.1101	0.07575	0.1274	0.08625	0.07971	0.06752	1	0.1773	0.0667	0.07029	0.08844	0.06223	0.08645	0.06341	0.04676	0.0765	0.07107	0.06903	0.08998	0.07625
CBFB	0.07726	0.06706	0.1201	0.07263	0.1001	0.1121	0.08136	0.06224	0.08431	0.1046	0.1399	0.1992	0.09297	0.1027	0.07067	0.105	0.06971	0.168	0.1515	0.1993	0.1079	0.05984	0.06404	0.1831	1	0.1188	0.07422	0.07741	0.1459	0.2363	0.09192	0.09649	0.08051	0.2059	0.07116	0.1299	0.09903
HDAC7	0.04742	0.0479	0.05894	0.05829	0.07192	0.08804	0.08309	0.05419	0.07055	0.08483	0.07988	0.05832	0.05244	0.02734	0.0406	0.0475	0.0379	0.05229	0.06906	0.04418	0.04889	0.08389	0.07719	0.07738	0.1188	1	0.07789	0.04934	0.04002	0.04854	0.03021	0.08409	0.03268	0.07625	0.09345	0.07335	0.126
HLF	0.07721	0.1225	0.07905	0.08347	0.09568	0.0558	0.09018	0.08868	0.07157	0.07608	0.06857	0.1166	0.08743	0.05027	0.0716	0.06576	0.07439	0.06209	0.1519	0.06969	0.07655	0.07796	0.0854	0.08066	0.1786	0.06417	1	0.09838	0.07802	0.08886	0.06553	0.06462	0.06671	0.1689	0.08478	0.06827	0.05858
HNF4A	0.06117	0.411	0.05138	0.04441	0.06478	0.09859	0.07866	0.08771	0.05183	0.05159	0.1134	0.05677	0.1212	0.03785	0.3917	0.08229	0.402	0.05941	0.08419	0.075	0.07693	0.06884	0.4642	0.05589	0.1263	0.06403	0.07573	1	0.06662	0.0747	0.06666	0.06606	0.0486	0.04721	0.4258	0.08335	0.06147
IRF6	0.1548	0.05466	0.1162	0.04914	0.06836	0.09824	0.08841	0.0592	0.4073	0.04935	0.05856	0.04982	0.08927	0.04221	0.08192	0.06011	0.0434	0.06334	0.07392	0.06297	0.07444	0.2381	0.06408	0.06514	0.1172	0.04849	0.07559	0.0666	1	0.04214	0.07112	0.05385	0.06969	0.05253	0.04121	0.1029	0.08786
MAML3	0.05053	0.03952	0.0481	0.06236	0.05764	0.1321	0.0976	0.05215	0.04886	0.05922	0.0825	0.06647	0.06496	0.02409	0.04481	0.07713	0.0394	0.04441	0.06482	0.05308	0.04414	0.104	0.04448	0.08636	0.1342	0.03388	0.06961	0.05619	0.06294	1	0.0364	0.02216	0.03374	0.06375	0.06171	0.06974	0.04303
MCM4	0.06297	0.05608	0.05341	0.04964	0.06485	0.1544	0.09895	0.06502	0.07272	0.06919	0.05817	0.05873	0.08539	0.03427	0.03835	0.097	0.03037	0.05665	0.08998	0.06917	0.05053	0.07186	0.07505	0.06341	0.1016	0.0727	0.0876	0.05037	0.03681	0.03528	1	0.7087	0.04272	0.05436	0.05527	0.06767	0.06212
MCM7	0.05531	0.05491	0.08321	0.04061	0.07862	0.141	0.1235	0.04623	0.04866	0.04827	0.0842	0.06405	0.08129	0.04115	0.04816	0.1008	0.05191	0.05785	0.06964	0.04258	0.04425	0.1811	0.0757	0.05036	0.1054	0.08413	0.07458	0.06706	0.06522	0.04184	0.7108	1	0.044	0.03535	0.1084	0.05883	0.04964
MECOM	0.05281	0.05515	0.06767	0.09209	0.433	0.1143	0.08465	0.1126	0.05044	0.06396	0.07837	0.06837	0.08846	0.03959	0.0474	0.06581	0.0541	0.06888	0.0614	0.07051	0.04305	0.08768	0.0651	0.07923	0.1065	0.04165	0.08223	0.05935	0.04896	0.04677	0.04494	0.04862	1	0.05652	0.06337	0.05693	0.04248
MYCN	0.05453	0.05058	0.05897	0.05208	0.09517	0.07959	0.09522	0.05809	0.04382	0.07162	0.05421	0.3186	0.08015	0.05092	0.05197	0.04405	0.06734	0.05406	0.08306	0.05609	0.07145	0.08838	0.0537	0.08142	0.1413	0.0651	0.08255	0.05731	0.05281	0.1094	0.06044	0.0338	0.0574	1	0.05803	0.08248	0.05978
RARB	0.04403	0.4031	0.05008	0.0774	0.06853	0.1228	0.08784	0.05909	0.05659	0.05366	0.097	0.06372	0.09316	0.04305	0.3665	0.1065	0.3953	0.05754	0.08501	0.0579	0.07102	0.08137	0.5007	0.06163	0.1531	0.06166	0.08576	0.4188	0.0445	0.03965	0.05996	0.07677	0.05246	0.06219	1	0.09245	0.05122
TEAD2	0.0634	0.04203	0.04945	0.03643	0.07454	0.1333	0.1653	0.06232	0.0816	0.06706	0.09511	0.07819	0.07444	0.04974	0.05173	0.1021	0.07264	0.08485	0.08274	0.1086	0.06684	0.06546	0.07154	0.07588	0.126	0.07335	0.06305	0.1021	0.0996	0.07129	0.062	0.04311	0.07491	0.04333	0.06449	1	0.04233
XRCC6	0.06192	0.05287	0.03123	0.0529	0.06795	0.1037	0.08679	0.06036	0.04846	0.05915	0.05388	0.04826	0.08787	0.053	0.04819	0.04905	0.04744	0.03743	0.04847	0.05886	0.04914	0.07812	0.06809	0.06353	0.09567	0.04419	0.08484	0.06926	0.1068	0.0397	0.04324	0.04604	0.04222	0.05868	0.06858	0.07976	1
