	ELF1	ESR1	FOXO1	GATA2	GFI1B	HMGB2	HOXA9	IKZF1	IRF8	MEF2C	MEIS1	MYC	NDN	NOTCH1	NR3C2	PBX1	PGR	REL	RUNX1T1	RUNX2	SATB1	SPI1	VDR	YBX1	CBFB	HDAC7	HLF	HNF4A	IRF6	MAML3	MCM4	MCM7	MECOM	MYCN	RARB	TEAD2	XRCC6
NOTCH1	0.105409255338946	0.121866669555358	0.138888888888889	0.134433214484466	0.128300059819917	0.153209119956831	0.124225998749988	0.157134840263677	0.111859342535671	0.148620078126338	0.138984641322799	0.108813511124364	0.122205929184461	1	0.13334911522761	0.125092558324419	0.126362566095958	0.10154529930749	0.127293769304329	0.175200110274749	0.0916619901538117	0.430331482911935	0.154303349962092	0.267553917205721	0.106501608403782	0.109985336266015	0.105409255338946	0.126554399433667	0.136648598624987	0.154303349962092	0.0425628265379374	0.0654728501098655	0.159394178265835	0.192450089729875	0.13489077471235	0.108253175473055	0.0630861082175188
NR3C2	0.311399577664609	0.345017251293858	0.246182981958665	0.231666187312523	0.248734169081546	0.179712689361946	0.247716847153431	0.261116483933547	0.247840798548305	0.131715842443458	0.223957004382342	0.156000907644285	0.189535626375859	0.13334911522761	1	0.255840859626732	0.409193967641251	0.25712973861329	0.241746889207614	0.176446168310146	0.203090598614981	0.198516666794186	0.265908011739155	0.320530382378016	0.235969951862135	0.108306072214776	0.350324524872685	0.262874863962293	0.27524094128159	0.170940864689457	0.125738922692386	0.116051770637132	0.188352643739204	0.239850805900062	0.321860342910192	0.266500895444513	0.159744612766174
PBX1	0.438178046004133	0.225151214313693	0.288675134594813	0.263891178740153	0.333333333333333	0.168585446084705	0.438938112570174	0.347011046894284	0.325493388482694	0.234764784021782	0.446441871723057	0.212860833676077	0.228600228600343	0.125092558324419	0.255840859626732	1	0.222233559801486	0.33166247903554	0.188982236504614	0.347594473212995	0.2993820796735	0.386500602909469	0.267261241912424	0.213003216807565	0.221359436211787	0.101600101600152	0.474692883171144	0.328797974610715	0.438938112570174	0.160356745147455	0.117953564923918	0.136082763487954	0.265035662579632	0.325	0.301931764969628	0.325	0.149853729853071
PGR	0.368855556781659	0.398014876083996	0.291605921759902	0.235209128549336	0.26937401188059	0.151375126521719	0.286902292026516	0.268055482123755	0.23485569615051	0.13729635176102	0.265279054538646	0.188144173676719	0.153947401737236	0.126362566095958	0.409193967641251	0.222233559801486	1	0.335029697130245	0.190900887080303	0.200641966621938	0.192450089729875	0.202030508910442	0.23397800710095	0.236215438142997	0.191662969499982	0.102631601158157	0.331970001103493	0.265708888557301	0.312984318574381	0.107989849431208	0.0893633203101749	0.0824786098842323	0.245415911539238	0.252538136138053	0.261426120570179	0.252538136138053	0.113531344891289
REL	0.55048188256318	0.254571170103892	0.348155311911396	0.280821826320545	0.251259453814803	0.254152122626207	0.350324524872685	0.307728727448332	0.38554980047803	0.242156629991817	0.356313412109203	0.240674835636066	0.229751874320245	0.10154529930749	0.25712973861329	0.33166247903554	0.335029697130245	1	0.170940864689457	0.274485820678272	0.287213478951776	0.254571170103892	0.241746889207614	0.267956556887548	0.238365647311398	0.153167916213497	0.495433694306862	0.297408958257966	0.467099366496914	0.161164592805076	0.133366267342316	0.123091490979333	0.332963579106013	0.414578098794425	0.29261523994306	0.339200262649984	0.197673873153717
RUNX1T1	0.138013111868471	0.132967437602285	0.181848241863327	0.176014394654657	0.314970394174356	0.176998081351197	0.243975018237133	0.270030862433661	0.175749910065499	0.116753615623576	0.198516666794186	0.150850936546281	0.192006144294928	0.127293769304329	0.241746889207614	0.188982236504614	0.190900887080303	0.170940864689457	1	0.187683374126956	0.25717224993682	0.234146452895423	0.235702260395516	0.215292017419113	0.179284291400159	0.288009216442392	0.207019667802706	0.18641092980036	0.14638501094228	0.202030508910442	0.167183463772606	0.154303349962092	0.166956774225936	0.188982236504614	0.203784786484806	0.188982236504614	0.141598465080958
RUNX2	0.3626387311293	0.209628529640985	0.254836524035998	0.218397893475571	0.24828176658071	0.24803965851086	0.320530382378016	0.337868689199743	0.269380245009416	0.286326110284259	0.304275935729018	0.242226709179304	0.210212105917213	0.175200110274749	0.176446168310146	0.347594473212995	0.200641966621938	0.274485820678272	0.187683374126956	1	0.247770372079812	0.285773803324704	0.221186977601904	0.175749910065499	0.261711961295107	0.147148474142049	0.332418836868525	0.326538167938031	0.363267766695085	0.132712186561143	0.122023831140845	0.15767205495988	0.237623831293911	0.351732502656006	0.232031899027472	0.289662061010829	0.186029743883145
SATB1	0.397523195999963	0.191494996540475	0.261891400439462	0.232365558525642	0.31752644813856	0.178434459677104	0.281091347570523	0.333333333333333	0.348024598442583	0.201773308922127	0.321633760451338	0.271562723296784	0.172825282455071	0.0916619901538117	0.203090598614981	0.2993820796735	0.192450089729875	0.287213478951776	0.25717224993682	0.247770372079812	1	0.213288670450258	0.26671075473288	0.479463301485384	0.258198889747161	0.172825282455071	0.447213595499958	0.246090553578476	0.281091347570523	0.145478593490662	0.120385853085769	0.111111111111111	0.180333926933486	0.272165526975909	0.2347869083535	0.272165526975909	0.0764719112901873
SPI1	0.126362566095958	0.233314131314346	0.242226709179304	0.431516971336846	0.288675134594813	0.125537504782899	0.229415733870562	0.0752177414444602	0.207434953411256	0.348742916231458	0.307728727448332	0.163902517026796	0.0630861082175188	0.420210157631365	0.325493388482694	0.354374653931171	0.320530382378016	0.261711961295107	0.339200262649984	0.235702260395516	0.197693843237432	1	0.0678844233302131	0.255344115428476	0.196589274873196	0.26671075473288	0.265708888557301	0.387298334620742	0.136797113611354	0.287698227784375	0.0654728501098655	0.240282945860364	0.322748612183951	0.282422891279703	0.229415733870562	0.294085848837523	0.203251144288266
VDR	0.29277002188456	0.22565322433338	0.205737799949456	0.207434953411256	0.296956935458249	0.183562930584645	0.230021853114118	0.309142011167656	0.227835580867107	0.187129819560417	0.257349548992652	0.165927564724782	0.203653269990639	0.154303349962092	0.265908011739155	0.267261241912424	0.23397800710095	0.241746889207614	0.235702260395516	0.221186977601904	0.26671075473288	0.126554399433667	1	0.733333333333333	0.225374467927604	0.158396987770497	0.325300024316178	0.27827069093704	0.299028409048353	0.142857142857143	0.105081387498547	0.121232161242218	0.236112534440382	0.222717701593687	0.307408222775592	0.222717701593687	0.11681277400841
YBX1	0.221359436211787	0.0675833822755704	0.29277002188456	0.333333333333333	0.157134840263677	0.131715842443458	0.229817699391451	0.228600228600343	0.170938571335579	0.32612338205663	0.232031899027472	0.311751110695825	0.122023831140845	0.147575690382985	0.175749910065499	0.255225290889079	0.424476359978009	0.196747750735186	0.302020224846311	0.212860833676077	0.0764719112901873	0.0893633203101749	0.375	1	0.302020224846311	0.18641092980036	0.289875452182101	0.322748612183951	0.170938571335579	0.136082763487954	0.186029743883145	0.245440346836908	0.325300024316178	0.310460210282533	0.170996392014192	0.178434459677104	0.270030862433661
CBFB	0.288675134594813	0.177997663795994	0.213003216807565	0.245440346836908	0.316227766016838	0.266556994991592	0.285773803324704	0.322748612183951	0.294085848837523	0.175829549662027	0.33218191941496	0.189316422860252	0.281126765115875	0.106501608403782	0.235969951862135	0.221359436211787	0.191662969499982	0.238365647311398	0.179284291400159	0.261711961295107	0.258198889747161	0.213288670450258	0.225374467927604	0.267956556887548	1	0.120482899335375	0.346410161513775	0.181956335718513	0.244948974278318	0.338061701891407	0.186500961648063	0.172132593164774	0.174607573942395	0.237170824512628	0.238698018814666	0.237170824512628	0.177704663327728
HDAC7	0.0463738895760168	0.142971164060431	0.0733235575106767	0.137999701470356	0.169333502666921	0.166525123824432	0.0655825835783953	0.233314131314346	0.118107719071499	0.125537504782899	0.100055601894761	0.0675833822755704	0.161290322580645	0.109985336266015	0.108306072214776	0.101600101600152	0.102631601158157	0.153167916213497	0.288009216442392	0.147148474142049	0.172825282455071	0.116753615623576	0.158396987770497	0.10154529930749	0.120482899335375	1	0.0463738895760168	0.146150845865382	0.098373875367593	0.0678844233302131	0.112350882940971	0.138260225964057	0.196347449708625	0.0635000635000953	0.136947758916194	0.158750158750238	0.118946517017452
HLF	0.733333333333333	0.256917497769354	0.386500602909469	0.340092120759081	0.426006433615129	0.170996392014192	0.518544972870135	0.335410196624968	0.424476359978009	0.270707300876965	0.479463301485384	0.291471700534356	0.231869447880084	0.105409255338946	0.350324524872685	0.474692883171144	0.331970001103493	0.495433694306862	0.207019667802706	0.332418836868525	0.447213595499958	0.225151214313693	0.325300024316178	0.160356745147455	0.346410161513775	0.0463738895760168	1	0.390195146371982	0.518544972870135	0.29277002188456	0.16151457061745	0.149071198499986	0.282267243490929	0.502079011046402	0.354374653931171	0.456435464587638	0.136797113611354
HNF4A	0.390195146371982	0.26604266479565	0.268928098796541	0.267956556887548	0.273998312175596	0.215563262528035	0.254685815986805	0.302020224846311	0.267553917205721	0.213288670450258	0.259039735065807	0.207777501366594	0.187908230398348	0.126554399433667	0.262874863962293	0.328797974610715	0.265708888557301	0.297408958257966	0.18641092980036	0.326538167938031	0.246090553578476	0.354374653931171	0.27827069093704	0.0752177414444602	0.181956335718513	0.146150845865382	0.390195146371982	1	0.360804905981308	0.131812432549124	0.0969572331127439	0.111859342535671	0.236012803692769	0.287698227784375	0.283641579407577	0.287698227784375	0.153973758948597
IRF6	0.612825877028341	0.236168536341647	0.347832796499967	0.260521565218266	0.301232038038355	0.217642875033004	0.366666666666667	0.316227766016838	0.420210157631365	0.255225290889079	0.339031751810405	0.223276750636136	0.196747750735186	0.136648598624987	0.27524094128159	0.438938112570174	0.312984318574381	0.467099366496914	0.14638501094228	0.363267766695085	0.281091347570523	0.170940864689457	0.299028409048353	0.239526955970138	0.244948974278318	0.098373875367593	0.518544972870135	0.360804905981308	1	0.138013111868471	0.114208048144032	0.140545673785261	0.313646271681711	0.419573195839137	0.389792232472793	0.355023473402347	0.19346033336267
MAML3	0.195180014589707	0.0752177414444602	0.154303349962092	0.124460972046753	0.17817416127495	0.200250469728704	0.207019667802706	0.163663417676994	0.18641092980036	0.132091637336765	0.210558721903079	0.106667720180217	0.203653269990639	0.154303349962092	0.170940864689457	0.160356745147455	0.107989849431208	0.161164592805076	0.202030508910442	0.132712186561143	0.145478593490662	0.125738922692386	0.142857142857143	0.195180014589707	0.338061701891407	0.0678844233302131	0.29277002188456	0.131812432549124	0.138013111868471	1	0.15762208124782	0.145478593490662	0.177084400830287	0.200445931434318	0.17291712531127	0.200445931434318	0.150187852296528
MCM4	0.107676380411633	0.0622438790044902	0.113500870767833	0.0915497214246348	0.196589274873196	0.138092044166527	0.152277397525376	0.150482316357212	0.137118234038212	0.0728719557735862	0.154880618532473	0.0784615442649073	0.149801177254628	0.0425628265379374	0.125738922692386	0.117953564923918	0.0893633203101749	0.133366267342316	0.167183463772606	0.122023831140845	0.120385853085769	0.192450089729875	0.105081387498547	0.248470933668405	0.186500961648063	0.112350882940971	0.16151457061745	0.0969572331127439	0.114208048144032	0.15762208124782	1	0.882829589295641	0.0976934413538754	0.147441956154897	0.127192600149779	0.147441956154897	0.276184088333054
MCM7	0.0993807989999907	0.0574484989621426	0.130945700219731	0.084496566736597	0.181443684650606	0.127453185483645	0.140545673785261	0.166666666666667	0.126554399433667	0.100886654461064	0.142948337978373	0.126729270871833	0.172825282455071	0.0654728501098655	0.116051770637132	0.136082763487954	0.0824786098842323	0.123091490979333	0.154303349962092	0.15767205495988	0.111111111111111	0.222233559801486	0.121232161242218	0.347832796499967	0.172132593164774	0.138260225964057	0.149071198499986	0.111859342535671	0.140545673785261	0.145478593490662	0.882829589295641	1	0.0901669634667432	0.170103454359943	0.146741817720937	0.170103454359943	0.28039700806402
MECOM	0.36291502734548	0.170938571335579	0.255030685225335	0.171422974035089	0.294484069532924	0.186171480851427	0.285132974256101	0.315584372133601	0.282422891279703	0.191029509028526	0.232005916226297	0.132224325212324	0.168297814035964	0.159394178265835	0.188352643739204	0.265035662579632	0.245415911539238	0.332963579106013	0.166956774225936	0.237623831293911	0.180333926933486	0.282422891279703	0.236112534440382	0.248734169081546	0.174607573942395	0.196347449708625	0.282267243490929	0.236012803692769	0.313646271681711	0.177084400830287	0.0976934413538754	0.0901669634667432	1	0.248470933668405	0.261979029526248	0.220863052149693	0.144800040662221
MYCN	0.502079011046402	0.228669202037345	0.288675134594813	0.271652683997216	0.333333333333333	0.234146452895423	0.419573195839137	0.280670699693906	0.348742916231458	0.247120825286086	0.328266082149306	0.315965299987926	0.190500190500286	0.192450089729875	0.239850805900062	0.325	0.252538136138053	0.414578098794425	0.188982236504614	0.351732502656006	0.272165526975909	0.169333502666921	0.222717701593687	0.297408958257966	0.237170824512628	0.0635000635000953	0.502079011046402	0.287698227784375	0.419573195839137	0.200445931434318	0.147441956154897	0.170103454359943	0.248470933668405	1	0.296540126309456	0.375	0.163902517026796
RARB	0.354374653931171	0.227612623402193	0.269781549424699	0.251083390830662	0.287554061875836	0.141392503568186	0.250580720875367	0.264135271897687	0.30084732633834	0.199857929301908	0.22654618871544	0.172150305012654	0.219116414265911	0.13489077471235	0.321860342910192	0.301931764969628	0.261426120570179	0.29261523994306	0.203784786484806	0.232031899027472	0.2347869083535	0.241746889207614	0.307408222775592	0.245415911539238	0.238698018814666	0.136947758916194	0.354374653931171	0.283641579407577	0.389792232472793	0.17291712531127	0.127192600149779	0.146741817720937	0.261979029526248	0.296540126309456	1	0.242623739707736	0.161591432649355
TEAD2	0.456435464587638	0.228669202037345	0.288675134594813	0.271652683997216	0.333333333333333	0.163902517026796	0.387298334620742	0.306186217847897	0.348742916231458	0.231675773705706	0.328266082149306	0.199557031571322	0.222250222250333	0.108253175473055	0.266500895444513	0.325	0.252538136138053	0.339200262649984	0.188982236504614	0.289662061010829	0.272165526975909	0.210983254304656	0.222717701593687	0.172825282455071	0.237170824512628	0.158750158750238	0.456435464587638	0.287698227784375	0.355023473402347	0.200445931434318	0.147441956154897	0.170103454359943	0.220863052149693	0.375	0.242623739707736	1	0.163902517026796
XRCC6	0.136797113611354	0.118616305942459	0.1441968187829	0.101770419803951	0.156097635263616	0.298245614035088	0.145095250022002	0.229415733870562	0.195976600339204	0.104152436419188	0.147575690382985	0.137061675205444	0.166525123824432	0.0630861082175188	0.159744612766174	0.149853729853071	0.113531344891289	0.197673873153717	0.141598465080958	0.186029743883145	0.0764719112901873	0.272165526975909	0.11681277400841	0.114208048144032	0.177704663327728	0.118946517017452	0.136797113611354	0.153973758948597	0.19346033336267	0.150187852296528	0.276184088333054	0.28039700806402	0.144800040662221	0.163902517026796	0.161591432649355	0.163902517026796	1
