	ARID1A	BAZ1A	BTAF1	CBX7	CBX8	CHD4	CHD7	CTCF	DAXX	DDX21	DPPA2	DPPA4	DR1	E2F1	EHMT2	ELL2	ELL3	EP300	EP400	ESRRB	EZH2	GABBR1	GATA4	GLI1	GLI2	GTF3C1	HCFC1	HDAC1	HDAC2	HDAC3	HEXIM1	JARID2	JUN	KDM5B	KLF4	MAFK	MAPK8	MED12	MEN1	MPHOSPH8	MTF2	MYC	NANOG	NFYA	NFYB	NONO	NR0B1	NR4A1	NRF1	OTX2	PARP1	POU5F1	PRDM14	RARA	REST	RIF1	RNF2	RYBP	SALL4	SIN3A	SMAD2	SMAD3	SMARCA4	SMARCAD1	SMARCC1	SOX17	SOX2	SUZ12	TBX3	TCF12	TET1	TET2	TFE3	TGIF1	TRIM28	UTF1	YEATS4	ZFP281	ZFP42	ZFP57	ZIC3	CNOT3	E2F4	EED	KLF2	MYCN	NACC1	PHC1	SALL1
DPPA2	0.08751	0.07455	0.06262	0.1621	0.07126	0.069	0.04304	0.07508	0.06438	0.09187	1	0.2828	0.1267	0.09965	0.08744	0.09261	0.08452	0.08141	0.1545	0.09334	0.08571	0.0658	0.07712	0.08851	0.07957	0.109	0.09115	0.08071	0.06761	0.04751	0.08173	0.07313	0.0817	0.06334	0.08011	0.0862	0.07085	0.07838	0.09145	0.07387	0.06819	0.07876	0.101	0.09636	0.1086	0.07681	0.0843	0.07086	0.06165	0.08086	0.07834	0.07991	0.0856	0.09621	0.08633	0.0852	0.04614	0.1133	0.07509	0.07247	0.05856	0.07174	0.1008	0.07639	0.06542	0.08403	0.07127	0.06681	0.09415	0.06072	0.09724	0.0756	0.09997	0.0943	0.07917	0.07398	0.09187	0.08626	0.07513	0.0851	0.07496	0.08675	0.06631	0.0855	0.08414	0.0815	0.1019	0.09427	0.08071
DPPA4	0.08388	0.06546	0.0767	0.1177	0.07679	0.09015	0.05099	0.1004	0.07886	0.07447	0.2828	1	0.1655	0.08613	0.09246	0.06512	0.07589	0.07406	0.1244	0.1065	0.08035	0.08766	0.07329	0.07512	0.08062	0.08657	0.08781	0.06021	0.0757	0.0382	0.0998	0.09909	0.0619	0.07448	0.08192	0.1013	0.05659	0.07767	0.07019	0.1028	0.09846	0.07466	0.1001	0.07148	0.1099	0.06919	0.09162	0.06169	0.08001	0.08883	0.06723	0.08174	0.06852	0.06675	0.07435	0.09528	0.06977	0.08442	0.1012	0.09922	0.05573	0.05146	0.07266	0.0837	0.07707	0.1071	0.08197	0.0783	0.08138	0.08608	0.08664	0.09898	0.09213	0.1243	0.07754	0.09517	0.04886	0.09943	0.08252	0.08408	0.07431	0.0894	0.1016	0.05079	0.09591	0.07999	0.08186	0.08394	0.09548
DR1	0.1015	0.1536	0.165	0.1296	0.13	0.181	0.1838	0.1227	0.1973	0.1265	0.1044	0.1059	1	0.1773	0.178	0.1481	0.1326	0.1637	0.1293	0.1468	0.1821	0.2138	0.05993	0.1366	0.08457	0.1201	0.1255	0.07917	0.05269	0.1591	0.1566	0.1494	0.1697	0.1687	0.1226	0.1961	0.07748	0.1616	0.1302	0.1784	0.04542	0.1933	0.1895	0.1223	0.5074	0.2796	0.09791	0.09953	0.1592	0.1348	0.1767	0.2133	0.08895	0.1801	0.1659	0.1328	0.158	0.1112	0.1782	0.183	0.1556	0.1619	0.2239	0.09956	0.3079	0.1372	0.1367	0.1882	0.1515	0.1876	0.1175	0.06745	0.1796	0.1159	0.1583	0.1581	0.1677	0.0921	0.1917	0.1354	0.09471	0.19	0.1632	0.05272	0.07528	0.1942	0.1708	0.209	0.175
E2F1	0.0633	0.06962	0.06304	0.1053	0.0573	0.05925	0.05942	0.06332	0.05319	0.04625	0.07118	0.07198	0.2584	1	0.05965	0.113	0.06011	0.05807	0.102	0.05003	0.0828	0.04325	0.06562	0.06285	0.06795	0.123	0.06317	0.04457	0.04991	0.04649	0.05243	0.04982	0.1057	0.04718	0.06318	0.3062	0.04768	0.09521	0.04615	0.05331	0.06932	0.0819	0.1039	0.07214	0.1468	0.1109	0.05155	0.06035	0.05948	0.1067	0.05205	0.0764	0.04201	0.03837	0.05496	0.05697	0.06433	0.08659	0.06881	0.066	0.0473	0.0476	0.09797	0.08771	0.1172	0.06519	0.08203	0.04776	0.05697	0.07102	0.06098	0.08106	0.1166	0.09068	0.08835	0.09538	0.1276	0.06175	0.0826	0.05148	0.06251	0.05212	0.2797	0.05134	0.0525	0.09117	0.06124	0.1085	0.06937
EHMT2	0.03373	0.03167	0.05968	0.1168	0.06881	0.02543	0.05753	0.04126	0.04593	0.0313	0.08848	0.06977	0.1236	0.07003	1	0.04173	0.1028	0.03639	0.1109	0.1134	0.1887	0.05239	0.08074	0.0361	0.02905	0.02344	0.02846	0.05902	0.05214	0.06857	0.08551	0.0318	0.06435	0.02849	0.06732	0.08999	0.08371	0.03286	0.03321	0.1833	0.04817	0.06689	0.08607	0.07698	0.1326	0.05495	0.05192	0.05104	0.05758	0.09528	0.04253	0.07856	0.1772	0.07862	0.03334	0.02375	0.07097	0.09794	0.03383	0.03155	0.0567	0.05349	0.02781	0.03666	0.03002	0.06167	0.06545	0.0331	0.04688	0.08726	0.03679	0.02564	0.06034	0.09489	0.03512	0.09681	0.114	0.03861	0.06431	0.0549	0.06971	0.04091	0.06982	0.04796	0.08519	0.06128	0.0401	0.04167	0.03401
ELL2	0.05384	0.0605	0.05417	0.152	0.08387	0.0796	0.04399	0.04415	0.05733	0.04616	0.09918	0.09113	0.2024	0.1072	0.06361	1	0.2877	0.03883	0.1613	0.07424	0.07015	0.04678	0.08019	0.04814	0.04027	0.07313	0.04985	0.05974	0.05199	0.0492	0.0923	0.04553	0.09064	0.04491	0.08243	0.1907	0.07014	0.06691	0.05501	0.04561	0.0984	0.08712	0.08892	0.06538	0.1306	0.06141	0.05556	0.04469	0.05523	0.0918	0.06122	0.07592	0.04983	0.05315	0.05318	0.04717	0.07646	0.1182	0.07368	0.06872	0.06901	0.0452	0.06621	0.06328	0.05595	0.06782	0.09173	0.05785	0.04728	0.05215	0.04907	0.06264	0.0525	0.1044	0.0507	0.09312	0.08805	0.05826	0.06363	0.07326	0.06053	0.04492	0.1059	0.05408	0.08835	0.0933	0.06052	0.05647	0.04882
ELL3	0.05732	0.1001	0.1043	0.09558	0.06922	0.1126	0.06882	0.07408	0.06846	0.07905	0.08452	0.09912	0.1854	0.05997	0.08475	0.289	1	0.07633	0.1131	0.0599	0.0532	0.05557	0.06537	0.0683	0.06299	0.06939	0.06962	0.0608	0.08133	0.03541	0.1117	0.07412	0.07083	0.06811	0.07152	0.1687	0.0632	0.08253	0.05536	0.07514	0.07824	0.09446	0.07157	0.07739	0.1312	0.07749	0.1324	0.09164	0.05553	0.1104	0.06786	0.09193	0.06505	0.0576	0.07443	0.04973	0.06704	0.09714	0.117	0.07552	0.05173	0.06202	0.09511	0.06815	0.05022	0.06772	0.07266	0.04059	0.05898	0.1014	0.06928	0.06781	0.1232	0.1022	0.07487	0.07805	0.1618	0.07746	0.06396	0.0444	0.06703	0.08009	0.07828	0.05467	0.06628	0.0968	0.05792	0.08453	0.05751
EP300	0.03536	0.0737	0.02488	0.1552	0.09372	0.02598	0.03636	0.08413	0.0606	0.03226	0.09632	0.09828	0.2078	0.06335	0.03468	0.04851	0.08681	1	0.1771	0.08958	0.0407	0.04731	0.06609	0.04216	0.02996	0.0249	0.02073	0.04318	0.06036	0.04789	0.07938	0.04701	0.0824	0.02216	0.06899	0.1688	0.057	0.01824	0.05504	0.03567	0.05151	0.07123	0.1305	0.07281	0.1382	0.07019	0.0554	0.04329	0.07212	0.1198	0.03592	0.09763	0.0475	0.06262	0.04193	0.02369	0.105	0.09159	0.04798	0.04833	0.05313	0.0496	0.03691	0.04534	0.04036	0.08911	0.1334	0.03936	0.0491	0.05712	0.03282	0.04033	0.07368	0.1488	0.1088	0.1245	0.09339	0.04269	0.1171	0.08414	0.0818	0.06911	0.0699	0.04556	0.06935	0.07269	0.09713	0.04582	0.04756
EP400	0.2639	0.1701	0.121	0.1243	0.1308	0.142	0.1647	0.09078	0.1717	0.04741	0.07164	0.09201	0.173	0.1862	0.1782	0.1614	0.09672	0.1721	1	0.1612	0.2	0.1793	0.1222	0.1669	0.0998	0.2338	0.1511	0.07576	0.0618	0.05398	0.1633	0.1398	0.1607	0.1614	0.1368	0.1458	0.1167	0.1431	0.04464	0.1188	0.07625	0.09493	0.1901	0.145	0.1823	0.1659	0.1007	0.1463	0.1436	0.1401	0.1099	0.228	0.108	0.06681	0.1637	0.1224	0.1822	0.1054	0.1527	0.1671	0.05428	0.05404	0.2074	0.1498	0.3002	0.1154	0.08598	0.1315	0.1901	0.1655	0.1723	0.1421	0.1628	0.09043	0.1871	0.3061	0.1577	0.146	0.1628	0.08595	0.04948	0.122	0.2236	0.05554	0.1029	0.2072	0.1193	0.165	0.1505
ESRRB	0.1039	0.07811	0.09802	0.1118	0.0655	0.09442	0.07984	0.06562	0.08177	0.08473	0.08693	0.1083	0.1516	0.05841	0.1195	0.08706	0.08121	0.08943	0.2025	1	0.07972	0.07852	0.07389	0.06614	0.06581	0.07605	0.06139	0.0456	0.04514	0.05189	0.08767	0.06859	0.08802	0.0875	0.04974	0.199	0.08405	0.1132	0.09268	0.08212	0.07336	0.04305	0.1699	0.07222	0.1402	0.06593	0.3395	0.5087	0.09017	0.06644	0.07623	0.09752	0.06159	0.5264	0.07	0.1063	0.05028	0.087	0.05488	0.09603	0.05817	0.07958	0.07866	0.06789	0.1096	0.05562	0.06036	0.1049	0.09097	0.06189	0.07836	0.0595	0.0964	0.1329	0.1027	0.09425	0.1296	0.06869	0.08141	0.05879	0.06079	0.06477	0.07376	0.05967	0.07532	0.07274	0.0679	0.07167	0.07149
EZH2	0.06857	0.04881	0.05755	0.1539	0.06655	0.06597	0.05575	0.06014	0.06256	0.0405	0.09326	0.08315	0.1485	0.08088	0.1939	0.07953	0.07836	0.05145	0.118	0.07818	1	0.07162	0.07765	0.05408	0.05982	0.05961	0.04752	0.04874	0.05276	0.04116	0.08671	0.04877	0.08259	0.04599	0.05633	0.1926	0.06151	0.06838	0.06666	0.04426	0.04593	0.07182	0.117	0.08316	0.151	0.06177	0.06757	0.05873	0.04517	0.1144	0.02976	0.07488	0.1705	0.08134	0.06367	0.05208	0.1276	0.1199	0.04777	0.0523	0.06013	0.04228	0.04563	0.04485	0.06255	0.08312	0.07472	0.03598	0.03928	0.05614	0.04605	0.03686	0.04806	0.0998	0.04647	0.09147	0.1764	0.03328	0.06937	0.07991	0.0787	0.05434	0.06263	0.04568	0.07809	0.06343	0.05954	0.04448	0.05495
GABBR1	0.05125	0.0997	0.04802	0.09076	0.06378	0.08719	0.1608	0.02319	0.08252	0.09147	0.06725	0.06761	0.2805	0.04586	0.05139	0.04645	0.07098	0.05116	0.1804	0.09637	0.04358	1	0.04339	0.02751	0.02794	0.04541	0.03078	0.1381	0.1213	0.117	0.1018	0.03766	0.1111	0.0498	0.06567	0.2706	0.05899	0.06106	0.1042	0.04045	0.05597	0.04297	0.05442	0.05744	0.1533	0.0886	0.07565	0.08499	0.0756	0.06159	0.05014	0.08652	0.0585	0.1006	0.02188	0.05386	0.1251	0.1003	0.03192	0.03442	0.03708	0.03995	0.1005	0.09103	0.04859	0.04922	0.07197	0.05153	0.0448	0.0384	0.03669	0.02643	0.07323	0.08419	0.03678	0.06789	0.1858	0.01958	0.08284	0.05135	0.03712	0.08211	0.03693	0.04717	0.05589	0.05503	0.05333	0.04797	0.05026
GATA4	0.05294	0.05873	0.05871	0.08798	0.07666	0.06086	0.04238	0.08056	0.07277	0.06085	0.09449	0.09132	0.09257	0.07592	0.07563	0.08013	0.06697	0.06487	0.07319	0.0828	0.05637	0.03456	1	0.05729	0.05773	0.07239	0.06639	0.06392	0.0481	0.03116	0.06996	0.0716	0.1109	0.05822	0.07355	0.1036	0.02956	0.04814	0.06005	0.07285	0.06822	0.06103	0.08007	0.07687	0.07821	0.06318	0.06205	0.06936	0.06481	0.08495	0.04582	0.05817	0.05288	0.06947	0.0638	0.05594	0.0885	0.1115	0.07849	0.07335	0.07381	0.05466	0.07499	0.06749	0.05468	0.07965	0.09492	0.04216	0.06685	0.08477	0.07598	0.06106	0.07948	0.09667	0.08483	0.08332	0.05299	0.07858	0.09151	0.06318	0.06612	0.06327	0.07851	0.06077	0.1158	0.04913	0.07377	0.05949	0.07598
GLI1	0.03201	0.03798	0.02643	0.1397	0.08843	0.03484	0.03638	0.06174	0.03878	0.03479	0.07838	0.07619	0.1592	0.08097	0.0361	0.04852	0.07378	0.04933	0.1408	0.08774	0.04533	0.02747	0.09685	1	0.1557	0.0364	0.03662	0.04823	0.04044	0.03367	0.07762	0.05626	0.07961	0.03808	0.1666	0.1869	0.03411	0.0369	0.04573	0.06042	0.0466	0.05924	0.09006	0.08169	0.1519	0.04993	0.04598	0.04799	0.08845	0.1012	0.0386	0.07193	0.1959	0.07757	0.1027	0.0378	0.05877	0.08451	0.05105	0.0374	0.05322	0.05285	0.0326	0.0372	0.0516	0.06736	0.09798	0.0459	0.04763	0.06301	0.03795	0.0413	0.05305	0.09634	0.05903	0.09636	0.1149	0.1106	0.2609	0.1401	0.2974	0.05323	0.06061	0.06307	0.2201	0.06296	0.0722	0.03903	0.04929
GLI2	0.03256	0.03402	0.02079	0.1491	0.06494	0.02545	0.03743	0.0814	0.04771	0.03967	0.09929	0.0822	0.09985	0.06909	0.02718	0.06357	0.05978	0.03474	0.0998	0.07012	0.0569	0.03091	0.07961	0.1557	1	0.03208	0.03475	0.04741	0.05527	0.06124	0.09459	0.04677	0.0786	0.02693	0.1575	0.1448	0.05432	0.02381	0.05239	0.04322	0.05711	0.07063	0.0887	0.0707	0.1363	0.05821	0.04838	0.05891	0.06308	0.1043	0.01877	0.06022	0.1902	0.07486	0.1026	0.02787	0.06893	0.1233	0.08692	0.0372	0.04172	0.05117	0.03053	0.03666	0.03364	0.06525	0.07235	0.04132	0.04963	0.06124	0.03893	0.04104	0.0659	0.1303	0.03382	0.1001	0.08768	0.1196	0.2784	0.09418	0.2873	0.04748	0.06663	0.04078	0.2108	0.06789	0.07169	0.04167	0.06073
GTF3C1	0.03259	0.05171	0.02529	0.1402	0.06875	0.05282	0.07615	0.05228	0.05689	0.03411	0.08026	0.1179	0.1619	0.1088	0.02777	0.08611	0.08887	0.03252	0.2366	0.07229	0.05465	0.03463	0.07616	0.04858	0.03255	1	0.02315	0.06169	0.04963	0.05955	0.07048	0.02511	0.08369	0.03145	0.05956	0.1386	0.06965	0.02018	0.04197	0.06094	0.04066	0.06842	0.1268	0.06766	0.1259	0.0522	0.09208	0.06558	0.059	0.09696	0.03925	0.0911	0.04259	0.04733	0.0359	0.02308	0.09427	0.1131	0.04471	0.04858	0.1016	0.07764	0.02683	0.03804	0.0499	0.0714	0.08426	0.02946	0.05129	0.04342	0.02191	0.02231	0.05507	0.1324	0.05649	0.1359	0.1389	0.05937	0.05941	0.05732	0.08084	0.07119	0.1284	0.06424	0.07024	0.04619	0.05338	0.0349	0.0496
HCFC1	0.0264	0.0243	0.02092	0.128	0.09075	0.02503	0.04337	0.04051	0.05472	0.0326	0.09035	0.07793	0.103	0.05636	0.02928	0.04179	0.06058	0.02321	0.1511	0.05942	0.04752	0.03513	0.07822	0.03756	0.03031	0.01563	1	0.02898	0.04616	0.02739	0.08007	0.02801	0.09081	0.02307	0.07241	0.1673	0.04197	0.02059	0.03442	0.03723	0.04893	0.06099	0.09865	0.06064	0.0781	0.05645	0.04961	0.04178	0.04755	0.07698	0.032	0.08881	0.04055	0.04462	0.04246	0.02406	0.06365	0.09707	0.03864	0.03826	0.06797	0.06763	0.02386	0.04204	0.0311	0.06504	0.07326	0.07004	0.04709	0.05797	0.02513	0.03305	0.06128	0.09905	0.04141	0.09801	0.1663	0.04175	0.0854	0.06317	0.05815	0.05299	0.0606	0.2832	0.06051	0.07399	0.0539	0.02964	0.03317
HDAC1	0.03658	0.05465	0.1908	0.12	0.06285	0.1773	0.2277	0.05025	0.03122	0.1787	0.07809	0.06444	0.1516	0.05257	0.04901	0.05112	0.05363	0.04109	0.0969	0.0456	0.05833	0.1352	0.06392	0.05852	0.04803	0.03397	0.05233	1	0.8881	0.9337	0.09362	0.04832	0.0747	0.04961	0.04661	0.1149	0.0864	0.07272	0.0603	0.05082	0.04444	0.04405	0.06824	0.04939	0.1449	0.04007	0.04423	0.06606	0.0313	0.08317	0.05611	0.07869	0.03533	0.04411	0.04878	0.06421	0.07226	0.09266	0.05856	0.04927	0.04366	0.04734	0.1993	0.188	0.07594	0.04263	0.0835	0.04781	0.05551	0.04364	0.05686	0.06007	0.04832	0.0496	0.03562	0.08516	0.05348	0.04968	0.08604	0.04719	0.04053	0.05808	0.04584	0.05046	0.1093	0.04687	0.04331	0.05111	0.05269
HDAC2	0.05257	0.05137	0.179	0.1228	0.06059	0.1617	0.1916	0.05259	0.05008	0.1895	0.07629	0.0757	0.1592	0.04991	0.03807	0.05744	0.05638	0.06401	0.0618	0.04229	0.06543	0.1356	0.06157	0.05152	0.05594	0.04124	0.0463	0.8881	1	0.9338	0.07962	0.03538	0.09363	0.045	0.05652	0.1139	0.08643	0.07088	0.06956	0.04995	0.05669	0.05257	0.07505	0.047	0.1549	0.0622	0.04698	0.06136	0.04453	0.05751	0.03709	0.08452	0.04769	0.0574	0.05298	0.06494	0.0656	0.07553	0.04289	0.05223	0.04397	0.04932	0.1536	0.1637	0.04382	0.06534	0.08436	0.04088	0.04827	0.04495	0.07139	0.06585	0.04726	0.07546	0.03876	0.08246	0.05168	0.05634	0.05576	0.04531	0.05854	0.05381	0.06703	0.04864	0.1028	0.04486	0.05292	0.04492	0.05906
