	AR	BCL11A	CTNNB1	DNMT3B	EGR1	EOMES	EZH2	FOXH1	FOXP1	GATA2	GATA3	GATA4	GATA6	HAND2	JUND	KLF5	LEF1	MLLT3	MXI1	NANOG	OTX2	POU5F1	PRDM1	SMAD2	SNAI2	SOX17	SOX2	STAT3	TCF4	TEAD4	TFAP2A	TP53	TRIM28	ZFP42
GATA3	0.09275	0.07004	0.06291	0.05203	0.06779	0.07979	0.05987	0.06365	0.05246	0.3376	1	0.2437	0.2525	0.0697	0.0727	0.08392	0.06876	0.06716	0.09109	0.113	0.08645	0.06545	0.07285	0.04759	0.07548	0.07447	0.06932	0.06581	0.07113	0.05064	0.05787	0.05154	0.07698	0.08791
GATA4	0.06053	0.09185	0.06424	0.05322	0.09394	0.0829	0.05488	0.07704	0.0803	0.2439	0.2609	1	0.2681	0.1007	0.07774	0.07686	0.06442	0.05946	0.0785	0.1028	0.08868	0.07824	0.06171	0.05445	0.1054	0.08282	0.07276	0.05736	0.0607	0.04465	0.05531	0.06112	0.06892	0.08583
GATA6	0.06976	0.05332	0.03692	0.043	0.07316	0.05358	0.04282	0.06215	0.05284	0.236	0.2531	0.2681	1	0.103	0.07571	0.06101	0.05932	0.07029	0.07806	0.08538	0.0727	0.06857	0.06858	0.05854	0.09799	0.06662	0.0789	0.04257	0.05796	0.04595	0.05581	0.05831	0.05223	0.05977
HAND2	0.0771	0.1291	0.09661	0.07076	0.1062	0.09387	0.09912	0.09269	0.1603	0.06996	0.07758	0.1037	0.1032	1	0.1356	0.08649	0.09409	0.1024	0.2713	0.1124	0.1329	0.149	0.1284	0.0953	0.07367	0.09295	0.06833	0.07174	0.2694	0.1054	0.07926	0.08462	0.08477	0.09637
JUND	0.07604	0.09322	0.061	0.07745	0.09626	0.07553	0.07799	0.07501	0.1234	0.06897	0.05949	0.08508	0.09547	0.1049	1	0.06792	0.07852	0.08125	0.1626	0.07789	0.08297	0.05378	0.06203	0.04807	0.1347	0.07753	0.07808	0.03712	0.1257	0.09726	0.07211	0.05568	0.07171	0.09168
KLF5	0.06988	0.1304	0.04789	0.058	0.1811	0.05711	0.05975	0.08218	0.06544	0.08528	0.08097	0.06258	0.0894	0.07812	0.07158	1	0.06004	0.05688	0.0823	0.09786	0.09478	0.05185	0.1847	0.04738	0.2695	0.06148	0.08858	0.05536	0.07844	0.05025	0.06098	0.06212	0.06199	0.2367
LEF1	0.0593	0.08651	0.06005	0.09989	0.06975	0.05712	0.07415	0.06155	0.07097	0.06312	0.08122	0.05554	0.07352	0.08641	0.07683	0.0737	1	0.06712	0.1197	0.106	0.08967	0.07647	0.04894	0.06216	0.0657	0.05698	0.2468	0.08575	0.06418	0.052	0.06925	0.07234	0.0757	0.04788
MLLT3	0.04614	0.05678	0.03978	0.06486	0.05706	0.07593	0.05246	0.06694	0.05186	0.06377	0.06861	0.07401	0.06827	0.1036	0.0856	0.07236	0.0839	1	0.09969	0.08543	0.08947	0.1027	0.06393	0.08921	0.0988	0.08209	0.08623	0.0685	0.05331	0.06967	0.05324	0.07852	0.06931	0.08925
MXI1	0.1675	0.1556	0.1118	0.07773	0.1577	0.07538	0.06962	0.11	0.1573	0.07455	0.09109	0.07535	0.1062	0.2713	0.1678	0.08704	0.08409	0.09345	1	0.1003	0.1067	0.1124	0.1008	0.06565	0.08422	0.1054	0.09526	0.05958	0.1978	0.1456	0.07127	0.07593	0.1979	0.06554
NANOG	0.08645	0.09776	0.08329	0.0899	0.1128	0.07572	0.1284	0.07509	0.09999	0.1173	0.06737	0.09908	0.0911	0.0755	0.08697	0.09691	0.07711	0.08952	0.1232	1	0.2353	0.2215	0.09359	0.05522	0.08372	0.09848	0.09929	0.0663	0.07524	0.1458	0.06602	0.07632	0.07994	0.07249
OTX2	0.1166	0.08434	0.08653	0.1113	0.07891	0.114	0.05078	0.08737	0.08272	0.1094	0.09582	0.06734	0.07957	0.1478	0.09603	0.0957	0.1154	0.08451	0.1183	0.219	1	0.2218	0.07967	0.05389	0.1106	0.09784	0.1315	0.06651	0.06827	0.1913	0.09051	0.07927	0.09695	0.06751
POU5F1	0.07436	0.0643	0.06937	0.07132	0.09959	0.06351	0.06116	0.06741	0.0868	0.06686	0.05588	0.06862	0.06122	0.1513	0.07095	0.05767	0.08376	0.09755	0.1124	0.2279	0.2323	1	0.08668	0.0659	0.06981	0.05863	0.0779	0.09203	0.09241	0.07635	0.06333	0.05744	0.05796	0.08861
PRDM1	0.04283	0.08544	0.04015	0.04012	0.1651	0.04902	0.1224	0.09071	0.06657	0.08528	0.08889	0.0896	0.06593	0.1278	0.07082	0.1801	0.1063	0.06725	0.1236	0.09208	0.07448	0.08505	1	0.07165	0.4314	0.04961	0.07172	0.04712	0.05952	0.1156	0.07098	0.08027	0.05819	0.3165
SMAD2	0.06977	0.07046	0.0559	0.0712	0.05023	0.04275	0.07366	0.06185	0.05862	0.05751	0.05402	0.06651	0.05604	0.07534	0.092	0.05033	0.06216	0.04573	0.07606	0.07946	0.08244	0.0659	0.04036	1	0.08805	0.05386	0.06406	0.04776	0.0525	0.1079	0.05386	0.07134	0.04775	0.05257
SNAI2	0.1135	0.1806	0.07888	0.06644	0.2817	0.07212	0.0974	0.08031	0.1118	0.0986	0.09464	0.1149	0.09221	0.1048	0.1355	0.2725	0.07179	0.1068	0.08258	0.08221	0.1106	0.119	0.4313	0.05932	1	0.1065	0.08712	0.09554	0.1137	0.08875	0.08091	0.0717	0.09272	0.366
SOX17	0.06746	0.0734	0.0576	0.05231	0.07037	0.06002	0.06766	0.06083	0.103	0.06084	0.06785	0.06602	0.0638	0.1236	0.07473	0.06049	0.1925	0.08191	0.09098	0.0994	0.1096	0.05863	0.05476	0.04129	0.07392	1	0.2767	0.0455	0.07877	0.06292	0.06339	0.06109	0.06734	0.08657
SOX2	0.06589	0.0939	0.07763	0.07997	0.08088	0.07846	0.08426	0.07402	0.08502	0.08408	0.08217	0.07307	0.05674	0.09515	0.07313	0.09624	0.243	0.08213	0.09657	0.09929	0.1214	0.08319	0.08633	0.06512	0.08168	0.2717	1	0.06248	0.0875	0.08898	0.08155	0.06437	0.07562	0.0515
STAT3	0.04378	0.02315	0.05988	0.02524	0.04236	0.08407	0.02603	0.06106	0.1053	0.04793	0.03817	0.05111	0.04198	0.05674	0.0367	0.04576	0.05394	0.05352	0.05438	0.06448	0.06644	0.09192	0.03966	0.04776	0.07708	0.04877	0.06248	1	0.03048	0.1306	0.0471	0.1588	0.05373	0.05802
TCF4	0.07272	0.06657	0.04662	0.04122	0.08216	0.04443	0.05972	0.07603	0.04438	0.06206	0.04601	0.09644	0.06065	0.2694	0.1075	0.06208	0.07479	0.05877	0.254	0.08131	0.1058	0.09241	0.04527	0.03425	0.07761	0.07095	0.07254	0.02979	1	0.04424	0.07971	0.07478	0.04804	0.06407
TEAD4	0.09412	0.07731	0.07138	0.08461	0.09806	0.105	0.05826	0.05816	0.06958	0.05226	0.0729	0.05933	0.07089	0.1054	0.09726	0.06954	0.052	0.06967	0.1448	0.113	0.1688	0.08115	0.04187	0.1079	0.08023	0.06749	0.07361	0.1227	0.05743	1	0.05618	0.1322	0.06954	0.0608
TFAP2A	0.05932	0.05872	0.05281	0.07673	0.06284	0.09251	0.08326	0.06865	0.08745	0.05533	0.05977	0.09031	0.06293	0.09076	0.0718	0.0734	0.07373	0.06522	0.07353	0.09051	0.08301	0.05914	0.07	0.0539	0.07835	0.06179	0.08498	0.08169	0.04651	0.04325	1	0.07242	0.05843	0.09069
TP53	0.05549	0.06508	0.05579	0.06814	0.07046	0.163	0.06297	0.05431	0.05793	0.06942	0.06401	0.05513	0.05635	0.1073	0.07655	0.04962	0.0722	0.0754	0.09208	0.07086	0.08545	0.04939	0.05321	0.06995	0.09569	0.06511	0.06435	0.122	0.06513	0.1323	0.055	1	0.04904	0.05957
TRIM28	0.0583	0.05375	0.0575	0.03252	0.06707	0.05481	0.05358	0.06338	0.06267	0.05809	0.05954	0.07226	0.04788	0.08609	0.07403	0.05708	0.09379	0.05209	0.07882	0.07823	0.09306	0.08939	0.04574	0.04558	0.08448	0.06102	0.07606	0.05046	0.05733	0.07647	0.1037	0.04625	1	0.07272
ZFP42	0.07951	0.1741	0.08193	0.05095	0.2873	0.06381	0.07863	0.07277	0.08821	0.06922	0.09216	0.08006	0.07095	0.1182	0.09208	0.2338	0.0582	0.08692	0.1172	0.08695	0.06769	0.07367	0.3165	0.05099	0.3658	0.07691	0.07138	0.05457	0.08855	0.06324	0.07724	0.04042	0.09118	1
