	KLF6	BTG2	SPI1	MCM7	MCM5	MCM4	GATA2	IKZF1	IRF8	RUNX1T1	FOXO1	CD7	MYC	NOTCH1	CTR9	MLLT3	CBFB	GFI1B	H1F0	MEIS1	PBX1	RARB	HNF4A	ESR1	VDR	RUNX2	TSC22D3	MAML3	XPC	XRCC6	HMGB2	PGR	SOX18	NDN	ELF1	HOXA9	YBX1	NR3C2	EYA2	DACH1
FOXO1	0.1174	0.1638	0.07285	0.08321	0.07792	0.0435	0.05018	0.06147	0.1413	0.04746	1	0.07869	0.05129	0.0392	0.05249	0.05558	0.06784	0.08637	0.3198	0.09076	0.06024	0.06586	0.05017	0.06539	0.08142	0.05839	0.122	0.0519	0.04537	0.03504	0.1025	0.04771	0.09547	0.1302	0.1003	0.1102	0.08412	0.0502	0.05985	0.07115
CD7	0.1044	0.1091	0.07588	0.07266	0.08451	0.07897	0.07934	0.1456	0.07552	0.1148	0.06738	1	0.06177	0.06663	0.2014	0.1818	0.1218	0.1059	0.07	0.1552	0.1359	0.06068	0.117	0.08889	0.05924	0.3057	0.1792	0.1908	0.2002	0.0714	0.1117	0.05514	0.09965	0.07144	0.09321	0.05979	0.09414	0.1051	0.06204	0.1701
MYC	0.09137	0.07747	0.07495	0.05082	0.05062	0.04733	0.05552	0.06457	0.05536	0.0883	0.06824	0.09455	1	0.06348	0.06199	0.06727	0.1105	0.07013	0.1387	0.07148	0.06493	0.0639	0.05974	0.0709	0.06782	0.06408	0.146	0.08162	0.07876	0.05406	0.09436	0.05183	0.1026	0.06067	0.05809	0.1357	0.09671	0.06147	0.1028	0.08381
NOTCH1	0.05689	0.09812	0.0784	0.0288	0.03979	0.03192	0.04889	0.09154	0.04503	0.05326	0.0694	0.04973	0.05713	1	0.08303	0.04973	0.1021	0.07681	0.1347	0.09009	0.071	0.08876	0.07896	0.03907	0.09503	0.0413	0.1238	0.04106	0.04857	0.03096	0.07964	0.02941	0.05778	0.04952	0.07174	0.0786	0.07218	0.0319	0.04942	0.06748
CTR9	0.05719	0.1152	0.08671	0.06337	0.03899	0.03821	0.05813	0.04527	0.05453	0.05789	0.04235	0.1244	0.04989	0.05208	1	0.05576	0.1606	0.05314	0.08232	0.07279	0.07867	0.0938	0.07008	0.09894	0.1206	0.06352	0.2046	0.04576	0.03848	0.04469	0.1547	0.0334	0.06182	0.09985	0.05007	0.09037	0.06988	0.03032	0.06786	0.03917
MLLT3	0.09076	0.1061	0.111	0.0317	0.04285	0.05658	0.0657	0.04813	0.07665	0.0494	0.06888	0.1614	0.05779	0.03777	0.05678	1	0.07913	0.06942	0.09923	0.06429	0.07382	0.05705	0.06575	0.04344	0.06217	0.09237	0.1404	0.058	0.04216	0.05378	0.07486	0.05407	0.05735	0.08776	0.04355	0.09844	0.07449	0.05926	0.06236	0.0624
CBFB	0.1137	0.09473	0.05984	0.09649	0.08313	0.09192	0.07263	0.06224	0.08431	0.1515	0.1201	0.1694	0.1992	0.1027	0.1958	0.07169	1	0.1001	0.07308	0.1399	0.105	0.07116	0.07741	0.06706	0.06404	0.1993	0.2059	0.2363	0.1644	0.09903	0.1121	0.06971	0.1235	0.09297	0.07726	0.08136	0.1831	0.07067	0.0701	0.2114
GFI1B	0.2815	0.06373	0.1143	0.07834	0.07939	0.08676	0.1141	0.2544	0.05764	0.09937	0.07737	0.06132	0.07875	0.07118	0.06567	0.088	0.1113	1	0.1265	0.07603	0.06921	0.07479	0.06478	0.06927	0.06201	0.06123	0.0866	0.07322	0.05832	0.06161	0.08128	0.07323	0.07702	0.06455	0.08556	0.09405	0.07892	0.05753	0.09749	0.07636
H1F0	0.1281	0.1504	0.1026	0.2755	0.2232	0.2587	0.1064	0.09424	0.1795	0.1436	0.2889	0.0361	0.1251	0.08275	0.1228	0.09824	0.1012	0.09408	1	0.09274	0.1122	0.153	0.1374	0.1126	0.1089	0.1127	0.1392	0.09202	0.1151	0.09548	0.1212	0.08216	0.09638	0.1156	0.2305	0.08887	0.106	0.1121	0.1064	0.09358
MEIS1	0.1095	0.1725	0.1177	0.07798	0.1018	0.0637	0.05549	0.06859	0.04871	0.09354	0.07939	0.1552	0.1044	0.04485	0.09055	0.05859	0.1399	0.06102	0.0989	1	0.1462	0.08201	0.111	0.06195	0.104	0.08931	0.1688	0.105	0.06174	0.05656	0.1303	0.0624	0.09828	0.07877	0.08422	0.209	0.07597	0.0797	0.07661	0.0825
PBX1	0.07774	0.1409	0.06961	0.09594	0.1072	0.04596	0.04948	0.05392	0.05201	0.0915	0.05336	0.09685	0.05254	0.04199	0.0797	0.04266	0.105	0.06921	0.1537	0.1487	1	0.05571	0.09048	0.08415	0.05528	0.05536	0.1715	0.07557	0.07726	0.04905	0.1409	0.0489	0.08693	0.08082	0.04952	0.211	0.06598	0.05638	0.05394	0.06797
RARB	0.08342	0.1093	0.08137	0.07677	0.07327	0.05996	0.0774	0.05909	0.05659	0.08501	0.05008	0.1217	0.06372	0.04305	0.09359	0.08047	0.1531	0.06853	0.1309	0.097	0.1065	1	0.4188	0.4031	0.5007	0.0579	0.1461	0.03965	0.07166	0.05122	0.1228	0.3953	0.07502	0.09316	0.04403	0.08784	0.06163	0.3665	0.1035	0.06038
HNF4A	0.1027	0.1301	0.06884	0.06606	0.06865	0.06666	0.04441	0.08771	0.05183	0.08419	0.05138	0.1181	0.05677	0.03785	0.08434	0.06221	0.1263	0.06478	0.1392	0.1134	0.08229	0.4258	1	0.411	0.4642	0.075	0.2253	0.0747	0.06372	0.06147	0.09859	0.402	0.06502	0.1212	0.06117	0.07866	0.05589	0.3917	0.06847	0.1025
ESR1	0.08062	0.1038	0.1171	0.05491	0.07064	0.05665	0.06868	0.05384	0.06547	0.07038	0.04529	0.0955	0.0709	0.03356	0.0484	0.04407	0.1591	0.07038	0.09419	0.08085	0.09189	0.4139	0.4104	1	0.4214	0.06287	0.2001	0.03792	0.03902	0.04427	0.1178	0.3654	0.07185	0.06074	0.05456	0.1138	0.06683	0.3658	0.07074	0.05054
VDR	0.1129	0.1653	0.09689	0.0757	0.08836	0.07212	0.06795	0.07239	0.03585	0.08956	0.05945	0.1583	0.08813	0.1015	0.08913	0.06263	0.1622	0.06185	0.09665	0.1121	0.1058	0.5007	0.4745	0.4045	1	0.05186	0.2293	0.06607	0.06497	0.05481	0.1208	0.4339	0.08407	0.1398	0.04423	0.08933	0.06515	0.4188	0.08694	0.06533
RUNX2	0.09282	0.06653	0.09145	0.03834	0.03211	0.04976	0.05863	0.05673	0.08999	0.04555	0.04865	0.2804	0.06079	0.04838	0.0644	0.07204	0.09452	0.05391	0.1019	0.05822	0.06462	0.04412	0.07	0.0542	0.06951	1	0.09897	0.06924	0.05666	0.03987	0.07547	0.05632	0.07122	0.08609	0.05428	0.08607	0.1363	0.06458	0.05854	0.05873
TSC22D3	0.1417	0.151	0.108	0.1341	0.1542	0.09328	0.1078	0.1632	0.1345	0.389	0.09814	0.208	0.2703	0.08714	0.2444	0.1069	0.2406	0.1798	0.09419	0.1799	0.1715	0.1677	0.2253	0.1934	0.165	0.2518	1	0.1938	0.2604	0.1141	0.1507	0.113	0.1142	0.09093	0.1489	0.166	0.1137	0.169	0.08875	0.2979
MAML3	0.1071	0.09254	0.104	0.02216	0.04194	0.0364	0.06236	0.05215	0.04886	0.06482	0.0481	0.08051	0.06647	0.02409	0.04733	0.0568	0.1342	0.05764	0.09122	0.0825	0.07713	0.06171	0.05619	0.03952	0.04448	0.05308	0.1674	1	0.04402	0.04303	0.1321	0.0394	0.06944	0.06496	0.05053	0.0976	0.08636	0.04481	0.08767	0.04909
XPC	0.06623	0.1032	0.07045	0.06342	0.04157	0.03957	0.05337	0.06472	0.05142	0.05505	0.05624	0.1017	0.08224	0.03278	0.03387	0.05665	0.1328	0.06914	0.1272	0.07148	0.06754	0.06202	0.06007	0.06346	0.04397	0.08249	0.2324	0.06801	1	0.03798	0.08764	0.03688	0.07427	0.08144	0.06557	0.0979	0.07993	0.03286	0.0513	0.03763
XRCC6	0.07502	0.09013	0.07812	0.04604	0.05518	0.04324	0.0529	0.06036	0.04846	0.04847	0.03123	0.08803	0.04826	0.053	0.03461	0.04999	0.09567	0.06795	0.1269	0.05388	0.04905	0.06858	0.06926	0.05287	0.06809	0.05886	0.1027	0.0397	0.03656	1	0.1037	0.04744	0.05948	0.08787	0.06192	0.08679	0.06353	0.04819	0.04126	0.05133
HMGB2	0.1575	0.1046	0.0849	0.141	0.1389	0.1448	0.06553	0.08944	0.05529	0.1382	0.0738	0.06547	0.08992	0.06369	0.165	0.1184	0.1719	0.07299	0.1207	0.1135	0.1489	0.0674	0.08671	0.1213	0.1166	0.1732	0.194	0.122	0.1632	0.1174	1	0.07229	0.3098	0.1168	0.06779	0.1308	0.07226	0.1116	0.05799	0.1246
PGR	0.07811	0.1291	0.1055	0.04767	0.07645	0.0333	0.08244	0.05916	0.03638	0.04269	0.05554	0.06273	0.05338	0.02807	0.04523	0.05222	0.1006	0.08121	0.08198	0.09265	0.04816	0.3882	0.4144	0.3678	0.4343	0.03997	0.113	0.04197	0.03822	0.04045	0.1451	1	0.09693	0.05984	0.06563	0.08641	0.07516	0.3148	0.04612	0.04841
SOX18	0.06229	0.09659	0.08023	0.05109	0.06708	0.05955	0.06609	0.07684	0.04415	0.1037	0.07844	0.09965	0.1042	0.05718	0.07535	0.06502	0.1284	0.06848	0.1277	0.09828	0.08693	0.05481	0.06246	0.07497	0.06623	0.05914	0.1567	0.07669	0.06889	0.07131	0.3041	0.08833	1	0.06455	0.0877	0.08772	0.08246	0.06016	0.07945	0.06828
NDN	0.08595	0.1823	0.1265	0.1541	0.1358	0.1066	0.05802	0.1025	0.08916	0.08893	0.1452	0.07144	0.0621	0.05166	0.07517	0.08332	0.1221	0.0976	0.1864	0.07877	0.08082	0.06484	0.06841	0.06192	0.1402	0.1138	0.1436	0.07985	0.06749	0.07457	0.1168	0.08478	0.06588	1	0.05996	0.06556	0.0567	0.06364	0.1073	0.1367
ELF1	0.08384	0.1126	0.3068	0.09045	0.07813	0.04374	0.04546	0.05642	0.1502	0.07075	0.09286	0.09504	0.06345	0.05002	0.06652	0.04996	0.08716	0.08083	0.239	0.07261	0.04952	0.05548	0.05827	0.04076	0.04036	0.05069	0.1489	0.0515	0.05989	0.03489	0.1085	0.0496	0.08855	0.092	1	0.09843	0.06934	0.05506	0.06087	0.07619
HOXA9	0.1076	0.07868	0.0837	0.06022	0.06576	0.0777	0.1084	0.09289	0.06507	0.1087	0.08028	0.09569	0.1097	0.07892	0.1079	0.09138	0.1144	0.1015	0.1104	0.2072	0.2237	0.09821	0.0788	0.0739	0.05823	0.08584	0.1831	0.1001	0.07901	0.1176	0.1266	0.1017	0.07782	0.08504	0.08732	1	0.09491	0.09701	0.1017	0.1089
YBX1	0.1089	0.05866	0.07971	0.04676	0.05459	0.06341	0.07473	0.07318	0.05876	0.07575	0.08412	0.1043	0.079	0.06516	0.07556	0.06996	0.1773	0.07892	0.1153	0.06381	0.05623	0.06903	0.08844	0.06999	0.06752	0.1274	0.09782	0.08645	0.07993	0.07625	0.1226	0.07072	0.06148	0.07817	0.0805	0.08193	1	0.08568	0.07368	0.08536
NR3C2	0.08385	0.152	0.09155	0.04716	0.05728	0.03788	0.08198	0.06783	0.0587	0.05485	0.05147	0.1051	0.05946	0.03549	0.0447	0.0538	0.1351	0.07532	0.1323	0.07001	0.04982	0.3789	0.3878	0.3667	0.4188	0.0577	0.2235	0.04161	0.03861	0.042	0.1383	0.3148	0.07649	0.06789	0.04747	0.1131	0.07801	1	0.04976	0.04664
EYA2	0.07956	0.1717	0.1118	0.05573	0.0588	0.05919	0.06265	0.04707	0.0347	0.06588	0.06226	0.05474	0.1011	0.03903	0.06786	0.05868	0.07679	0.07715	0.1004	0.06554	0.05394	0.05539	0.05898	0.05342	0.0873	0.06323	0.1348	0.07431	0.04368	0.03987	0.08306	0.05748	0.08397	0.09675	0.05619	0.1017	0.07368	0.05397	1	0.07686
DACH1	0.09527	0.1114	0.05807	0.03283	0.03675	0.04728	0.08174	0.07046	0.05552	0.09565	0.06887	0.08676	0.07074	0.03428	0.05281	0.06282	0.1217	0.07878	0.1123	0.05813	0.06729	0.07773	0.0683	0.05138	0.04974	0.04099	0.1229	0.05901	0.03477	0.04918	0.08269	0.04408	0.09897	0.1043	0.07454	0.07865	0.06914	0.04642	0.05513	1
