	MCM6	MCM3	ORC2	MCM5	MCM4	MCM2	MCM7	RAD51	KLF6	JUN	BTG2	POLR2B	XRCC3	XRCC6	ERCC8	GTF2H1	TCF19	SPI1	GATA2	EBF1	IKZF1	TLR4	MYB	IRF8	RUNX1T1	GTF2F1	CTR9	SNRPB	TAF12	YBX1	MLLT3	PHB2	MYCN	XPC	POLR1B	E2F4	RB1	MYC	CBFB	GFI1B	PA2G4	MAPK1	MAPK12	REXO4	RARB	HDAC2	SMARCA2	JARID2	CBX7	MECOM	HDAC7	HDAC11	DDX20	EGR1	ZFP36	HMGB2	MIS18BP1	CENPK	NFKBIA	REL	RELB	SPO11	DEK	ABL1	H1F0	MED16	FOXO1	PHF10	EPAS1	HIF3A	TSC22D3	IRF7	DDX58	STAT2	IRF9	MEIS1	RORC	RORA	RUVBL2	PBX1	HCFC1	APBB1	FEM1B	ZBTB16	RNF4	CREB5	ATF7	RPS6KA5	NDN	ELF1	E2F8	NFATC2
BTG2	0.1425	0.1886	0.2062	0.1635	0.08618	0.1761	0.08708	0.1145	0.06124	0.09076	1	0.0644	0.1074	0.08396	0.1428	0.1474	0.09236	0.1319	0.1062	0.07756	0.09061	0.1462	0.1267	0.1999	0.2104	0.08766	0.1312	0.08112	0.1833	0.1043	0.07566	0.1604	0.07356	0.131	0.121	0.115	0.2715	0.08177	0.09473	0.08412	0.1954	0.1225	0.1276	0.04717	0.09857	0.1199	0.0882	0.14	0.06732	0.08305	0.1071	0.08507	0.09514	0.117	0.08895	0.1518	0.07039	0.114	0.09749	0.1299	0.1092	0.1368	0.1384	0.07126	0.1468	0.1187	0.1636	0.07302	0.154	0.123	0.1559	0.1104	0.1471	0.1089	0.2059	0.1114	0.1079	0.1941	0.1345	0.1215	0.07653	0.164	0.1589	0.09821	0.08732	0.09975	0.09656	0.09053	0.1823	0.09007	0.1911	0.09421
POLR2B	0.05054	0.04952	0.02234	0.06257	0.04323	0.02957	0.0442	0.06524	0.04966	0.05195	0.07196	1	0.04801	0.0528	0.0577	0.06145	0.07884	0.07895	0.03923	0.06338	0.02976	0.04474	0.04482	0.0574	0.06575	0.03676	0.04354	0.09159	0.1966	0.04472	0.04468	0.1199	0.08527	0.04227	0.8162	0.06812	0.05129	0.08682	0.1248	0.06353	0.04716	0.05122	0.1143	0.05033	0.06685	0.04282	0.03348	0.034	0.06603	0.02126	0.0345	0.0636	0.03345	0.06755	0.041	0.1424	0.02496	0.07238	0.08202	0.05411	0.03327	0.04603	0.0715	0.05516	0.1252	0.04838	0.0398	0.03377	0.03962	0.0537	0.09986	0.06144	0.04295	0.06871	0.053	0.0748	0.06442	0.08453	0.07496	0.08146	0.02577	0.02481	0.08676	0.03512	0.06453	0.05069	0.0413	0.02526	0.08572	0.06208	0.03939	0.03541
XRCC3	0.09859	0.2425	0.1831	0.1139	0.2208	0.226	0.2294	0.7617	0.09092	0.04315	0.09301	0.04801	1	0.1992	0.05739	0.09452	0.08399	0.04666	0.03276	0.07607	0.07812	0.1347	0.09633	0.03789	0.06275	0.09638	0.08385	0.06116	0.1097	0.0463	0.07613	0.09493	0.03327	0.06386	0.06891	0.04725	0.115	0.05515	0.1214	0.03796	0.05097	0.0617	0.04499	0.03899	0.109	0.1589	0.2142	0.09927	0.08121	0.06042	0.2509	0.2123	0.2453	0.07036	0.03192	0.08688	0.09812	0.06909	0.07774	0.03162	0.04973	0.1493	0.1015	0.09178	0.07749	0.08899	0.08387	0.05752	0.06815	0.04852	0.1295	0.04873	0.1959	0.0874	0.02656	0.09292	0.07738	0.07062	0.2207	0.0805	0.05889	0.0701	0.07644	0.08851	0.05405	0.06367	0.04973	0.07259	0.06319	0.05831	0.08766	0.08899
XRCC6	0.04925	0.04886	0.04506	0.05518	0.04324	0.05137	0.04604	0.1642	0.07502	0.06904	0.09013	0.0528	0.1988	1	0.0413	0.05748	0.09024	0.07812	0.0529	0.0521	0.06036	0.09682	0.05849	0.04846	0.04847	0.0603	0.03461	0.09576	0.1122	0.06353	0.04999	0.05962	0.05868	0.03656	0.04626	0.04959	0.0408	0.04826	0.09567	0.06795	0.03265	0.05789	0.07659	0.05406	0.06858	0.1559	0.05869	0.05885	0.1197	0.04222	0.04419	0.1848	0.07695	0.04379	0.04925	0.1037	0.0573	0.07112	0.0903	0.03743	0.05092	0.07946	0.07434	0.04216	0.1269	0.04337	0.03123	0.07171	0.07595	0.0738	0.1027	0.07409	0.06961	0.05995	0.05754	0.05388	0.03863	0.04525	0.1059	0.04905	0.03871	0.06076	0.04772	0.03329	0.08343	0.05431	0.05995	0.05787	0.08787	0.06192	0.04337	0.04773
ERCC8	0.04229	0.03286	0.04454	0.08168	0.05082	0.0592	0.05228	0.05957	0.04585	0.05301	0.1428	0.05402	0.05862	0.05641	1	0.09253	0.08164	0.07656	0.05163	0.07072	0.04927	0.03077	0.04998	0.0568	0.04676	0.04858	0.03521	0.08519	0.07271	0.0751	0.07126	0.04338	0.04183	0.07741	0.06624	0.06034	0.05555	0.0488	0.1427	0.04586	0.04846	0.06427	0.04732	0.05615	0.04181	0.03768	0.03372	0.04602	0.1085	0.04777	0.0333	0.04612	0.0639	0.06199	0.05793	0.09042	0.06027	0.04826	0.06036	0.06297	0.06045	0.03575	0.06573	0.07216	0.06426	0.512	0.05893	0.05455	0.06887	0.07743	0.1093	0.05366	0.04562	0.04384	0.03745	0.05131	0.04676	0.03963	0.05412	0.04235	0.3594	0.1053	0.03072	0.03853	0.06783	0.04916	0.06369	0.03744	0.06361	0.0719	0.05359	0.09499
GTF2H1	0.06195	0.06659	0.06272	0.03454	0.05866	0.04896	0.0644	0.06468	0.07001	0.06316	0.1474	0.03184	0.04321	0.06121	0.09253	1	0.08236	0.06897	0.03663	0.05672	0.07695	0.03804	0.05557	0.07915	0.0657	0.0475	0.09928	0.04871	0.1662	0.06135	0.04863	0.09843	0.04946	0.0671	0.03534	0.04054	0.07038	0.064	0.1306	0.07021	0.04444	0.07264	0.08144	0.0427	0.09699	0.0478	0.06955	0.06168	0.1051	0.04547	0.0547	0.05625	0.04291	0.041	0.05047	0.1335	0.05169	0.09612	0.09698	0.06207	0.06492	0.06828	0.05962	0.05552	0.1214	0.06012	0.06803	0.07044	0.05322	0.03826	0.2164	0.05219	0.05028	0.09501	0.06202	0.09954	0.04857	0.07336	0.06633	0.0876	0.04674	0.1188	0.1041	0.06676	0.07752	0.08865	0.07742	0.04065	0.1174	0.04307	0.07696	0.06576
TCF19	0.09412	0.08245	0.07334	0.09284	0.1046	0.06853	0.07549	0.08845	0.08266	0.09458	0.09236	0.07094	0.1192	0.07302	0.08164	0.08353	1	0.06153	0.1005	0.0847	0.07907	0.04729	0.1347	0.2918	0.07677	0.1116	0.09502	0.1407	0.1414	0.1033	0.08755	0.06196	0.08986	0.06664	0.09319	0.07468	0.07544	0.09198	0.1046	0.1115	0.06443	0.09602	0.1053	0.07275	0.06846	0.08004	0.09463	0.08163	0.09792	0.07377	0.1039	0.05235	0.1071	0.09058	0.09637	0.06278	0.09111	0.05685	0.07596	0.1058	0.09801	0.05335	0.08787	0.08281	0.09092	0.0904	0.1094	0.1004	0.09649	0.08531	0.1475	0.086	0.08513	0.1085	0.3133	0.1071	0.07587	0.08402	0.07603	0.07938	0.07192	0.1081	0.04042	0.0715	0.1175	0.07448	0.07396	0.06761	0.06156	0.07586	0.09351	0.08322
SPI1	0.07062	0.1713	0.07291	0.1406	0.0676	0.06453	0.1811	0.09359	0.08486	0.07428	0.06325	0.07895	0.06784	0.1145	0.03993	0.06676	0.06232	1	0.07828	0.08196	0.09623	0.06657	0.0803	0.2406	0.079	0.09371	0.09327	0.08045	0.1288	0.07636	0.09621	0.07015	0.09764	0.06287	0.05846	0.07215	0.06168	0.09863	0.06172	0.09664	0.07761	0.04936	0.03916	0.07158	0.08452	0.06095	0.1036	0.09399	0.1137	0.08768	0.08424	0.04303	0.1059	0.09214	0.07025	0.09005	0.1182	0.1127	0.1049	0.09614	0.06909	0.08527	0.09334	0.08249	0.08472	0.02176	0.07183	0.06828	0.08552	0.09609	0.108	0.08398	0.04918	0.07126	0.2261	0.1343	0.08555	0.08491	0.0737	0.1019	0.09131	0.07252	0.05803	0.0901	0.09191	0.09984	0.08175	0.08692	0.125	0.3067	0.08253	0.07816
GATA2	0.04514	0.06872	0.05625	0.02711	0.04485	0.05562	0.03467	0.04318	0.08027	0.06645	0.08656	0.03772	0.02795	0.0434	0.05163	0.04949	0.06911	0.08423	1	0.05443	0.06521	0.02283	0.05003	0.05105	0.04857	0.05194	0.04613	0.08144	0.1059	0.06549	0.05779	0.04723	0.05583	0.05337	0.04443	0.06157	0.0553	0.0796	0.05306	0.07094	0.04853	0.04333	0.037	0.05992	0.0774	0.04248	0.06814	0.06307	0.1172	0.07037	0.06357	0.03368	0.05462	0.05818	0.0692	0.07138	0.05904	0.05095	0.05469	0.05077	0.0523	0.02525	0.06279	0.06061	0.09857	0.04595	0.06796	0.05203	0.06547	0.058	0.1271	0.05067	0.0386	0.04831	0.0584	0.05197	0.04896	0.07787	0.03273	0.04778	0.05647	0.05481	0.006249	0.06378	0.106	0.06177	0.08889	0.04354	0.07814	0.05846	0.05749	0.06721
EBF1	0.04713	0.04938	0.04896	0.03855	0.05097	0.04806	0.04946	0.05433	0.114	0.07413	0.07806	0.06107	0.07318	0.05213	0.07072	0.05672	0.1411	0.08164	0.0521	1	0.06226	0.05599	0.05012	0.09376	0.04417	0.05512	0.04866	0.08699	0.09873	0.09556	0.05595	0.05308	0.06226	0.05489	0.05626	0.06182	0.04899	0.06663	0.1301	0.06641	0.07768	0.07977	0.0624	0.05274	0.0622	0.04601	0.04387	0.05481	0.1045	0.06167	0.05405	0.05581	0.05036	0.04666	0.06953	0.107	0.04969	0.07658	0.05656	0.1565	0.1497	0.03858	0.07723	0.09103	0.1338	0.05571	0.05089	0.03846	0.06359	0.04794	0.1561	0.07475	0.04897	0.1177	0.05878	0.07087	0.06703	0.06552	0.04405	0.07067	0.06107	0.05156	0.01746	0.06909	0.09976	0.06398	0.05217	0.07701	0.0732	0.04864	0.05413	0.1418
IKZF1	0.05043	0.07826	0.05273	0.04144	0.05959	0.04804	0.04991	0.0488	0.2317	0.07673	0.07513	0.04931	0.05212	0.0521	0.03728	0.07629	0.089	0.09077	0.06089	0.0795	1	0.04365	0.069	0.05739	0.0538	0.05616	0.05804	0.07457	0.1365	0.07323	0.05206	0.09885	0.0532	0.06494	0.04484	0.0595	0.05751	0.06369	0.1372	0.2486	0.0499	0.04129	0.0389	0.05984	0.07655	0.04568	0.04768	0.05159	0.1334	0.1436	0.05324	0.0521	0.06276	0.1253	0.09813	0.1085	0.05401	0.1398	0.06621	0.046	0.05483	0.06516	0.0924	0.05267	0.1008	0.04027	0.06402	0.07323	0.0612	0.05958	0.1135	0.05208	0.04367	0.04657	0.05309	0.09483	0.07346	0.06642	0.04419	0.06127	0.06422	0.04589	0.03398	0.1143	0.1118	0.06752	0.08597	0.04803	0.1025	0.04477	0.06022	0.04394
TLR4	0.04797	0.05639	0.08177	0.0528	0.0466	0.03075	0.04725	0.1015	0.09345	0.1071	0.1135	0.04504	0.1036	0.1069	0.03077	0.04586	0.03274	0.06657	0.03017	0.05599	0.04653	1	0.03889	0.04379	0.03734	0.0488	0.04506	0.02886	0.118	0.02456	0.05305	0.0591	0.04863	0.05814	0.02883	0.05134	0.03815	0.04882	0.1116	0.06535	0.04574	0.06172	0.04434	0.05632	0.03671	0.07001	0.06572	0.04041	0.1102	0.03432	0.05493	0.1753	0.0816	0.04522	0.05395	0.1179	0.04592	0.08738	0.0572	0.0344	0.03253	0.1123	0.05177	0.03678	0.05137	0.03507	0.03106	0.06575	0.02654	0.03575	0.1582	0.02898	0.07502	0.03322	0.04717	0.0531	0.0311	0.04234	0.07636	0.04772	0.0322	0.0335	0.04438	0.06353	0.05207	0.08243	0.06865	0.02202	0.04801	0.03126	0.03089	0.01892
MYB	0.03182	0.05358	0.05662	0.06517	0.03391	0.03464	0.04125	0.1164	0.1037	0.09006	0.08107	0.0391	0.06609	0.04876	0.05852	0.0683	0.1347	0.09692	0.05767	0.04382	0.05426	0.02912	1	0.06163	0.0683	0.06834	0.06664	0.1037	0.1053	0.07487	0.06347	0.06631	0.05636	0.04657	0.03941	0.08976	0.03877	0.06883	0.1542	0.0735	0.04882	0.04374	0.05302	0.08174	0.0451	0.06502	0.05429	0.0639	0.1413	0.08272	0.05873	0.07763	0.05088	0.06662	0.06649	0.1139	0.0573	0.1064	0.08099	0.05451	0.04782	0.06764	0.08184	0.05196	0.1868	0.04346	0.06699	0.07215	0.05741	0.04195	0.1277	0.05997	0.03813	0.03991	0.05433	0.07092	0.05941	0.06088	0.05349	0.07534	0.05328	0.0419	0.05818	0.05652	0.1475	0.07451	0.07904	0.03826	0.06719	0.0503	0.06612	0.06483
IRF8	0.1344	0.06533	0.05714	0.104	0.04723	0.05945	0.07421	0.06413	0.09226	0.07718	0.1679	0.06843	0.03789	0.04846	0.04123	0.0634	0.2996	0.2454	0.0947	0.0528	0.06829	0.05602	0.06416	1	0.07435	0.046	0.04845	0.07263	0.05989	0.0836	0.04665	0.06004	0.04644	0.05206	0.04878	0.04959	0.06082	0.05063	0.1407	0.05718	0.04453	0.04724	0.04796	0.04726	0.05309	0.05102	0.06061	0.05705	0.1018	0.07897	0.05826	0.04412	0.05252	0.08936	0.07225	0.1241	0.08159	0.1159	0.04183	0.04357	0.08171	0.03819	0.07444	0.04603	0.1371	0.05901	0.1464	0.06084	0.07565	0.05362	0.1602	0.4011	0.05588	0.04644	0.3812	0.07428	0.09189	0.06093	0.06561	0.0827	0.06594	0.09186	0.05113	0.05175	0.1417	0.0701	0.0635	0.0566	0.06472	0.1542	0.08141	0.08455
RUNX1T1	0.1048	0.06963	0.0367	0.09009	0.04489	0.03833	0.05764	0.08096	0.09368	0.1791	0.197	0.03333	0.07014	0.04036	0.05274	0.07096	0.07707	0.06593	0.04857	0.04097	0.04483	0.03408	0.06428	0.04285	1	0.06916	0.05413	0.07211	0.2426	0.07575	0.05049	0.1158	0.1028	0.05417	0.056	0.0626	0.07679	0.07681	0.1208	0.0915	0.04509	0.05505	0.05098	0.05981	0.06177	0.07183	0.1046	0.05077	0.1123	0.0504	0.04498	0.05603	0.04996	0.06939	0.07664	0.1079	0.06414	0.1953	0.04768	0.03671	0.04044	0.0804	0.0808	0.03992	0.1359	0.06428	0.05509	0.0601	0.04848	0.04344	0.3906	0.04175	0.06902	0.04825	0.06932	0.09354	0.07153	0.06586	0.05626	0.08249	0.05719	0.04002	0.04698	0.04537	0.09934	0.1219	0.1499	0.04853	0.09893	0.06305	0.04345	0.04503
GTF2F1	0.0985	0.09214	0.04806	0.09935	0.05439	0.04445	0.05133	0.09364	0.1192	0.08068	0.08766	0.03819	0.09638	0.05298	0.04433	0.0456	0.1146	0.1396	0.04949	0.06401	0.05125	0.03182	0.05628	0.05121	0.06778	1	0.05043	0.084	0.1405	0.0636	0.06388	0.02703	0.0574	0.04736	0.03019	0.05689	0.04127	0.09013	0.1545	0.06563	0.05183	0.04144	0.03653	0.07562	0.05469	0.03243	0.05688	0.06109	0.1425	0.061	0.06822	0.04504	0.0747	0.0782	0.1068	0.07552	0.07329	0.06486	0.06435	0.06481	0.04641	0.06612	0.109	0.06467	0.2699	0.03131	0.07287	0.07167	0.06106	0.06315	0.1304	0.06015	0.04791	0.04678	0.05306	0.1017	0.06276	0.06589	0.07237	0.0565	0.05506	0.05236	0.06902	0.06335	0.1611	0.07303	0.07162	0.0381	0.1277	0.09655	0.06359	0.0488
CTR9	0.04315	0.03236	0.04528	0.03899	0.03821	0.07416	0.06337	0.08662	0.05719	0.06816	0.1152	0.04109	0.07482	0.04469	0.03917	0.09591	0.09502	0.08671	0.05813	0.03974	0.04527	0.03809	0.05585	0.05453	0.05789	0.04534	1	0.08247	0.1169	0.06988	0.05576	0.08726	0.05924	0.03848	0.04	0.05795	0.08756	0.04989	0.1606	0.05314	0.08855	0.1262	0.06183	0.05109	0.0938	0.04156	0.03505	0.03258	0.08513	0.03001	0.03087	0.07339	0.03588	0.05065	0.07054	0.1547	0.03662	0.09023	0.1821	0.05861	0.0373	0.07409	0.07873	0.03125	0.08232	0.06807	0.04235	0.05658	0.03498	0.04702	0.2046	0.04274	0.06244	0.05242	0.05334	0.07279	0.09125	0.0973	0.05509	0.07867	0.02902	0.04274	0.1336	0.04078	0.107	0.09086	0.05742	0.02085	0.09985	0.05007	0.03957	0.03793
SNRPB	0.06685	0.08082	0.1096	0.0646	0.0789	0.08231	0.09559	0.07813	0.07263	0.08633	0.09519	0.09159	0.05244	0.08918	0.08519	0.05264	0.1286	0.08385	0.1034	0.09049	0.06118	0.04694	0.08794	0.05455	0.05967	0.1053	0.08982	1	0.119	0.1275	0.09599	0.0606	0.09614	0.08817	0.06056	0.1194	0.04539	0.09814	0.05903	0.06193	0.05904	0.04522	0.06617	0.07804	0.07599	0.07554	0.08437	0.09722	0.08728	0.0894	0.07872	0.06727	0.07772	0.08111	0.0999	0.05632	0.08727	0.04296	0.08226	0.07936	0.08325	0.04154	0.08486	0.0808	0.122	0.1432	0.09005	0.0983	0.1283	0.1533	0.09581	0.09453	0.07114	0.1144	0.07444	0.09262	0.07082	0.1053	0.0576	0.06695	0.06975	0.08474	0.05387	0.07966	0.08293	0.08615	0.08001	0.06707	0.06396	0.094	0.08837	0.08601
