	ARID2	ATF3	BRCA1	CEBPD	CEBPZ	CREB1	ELF1	EPAS1	EZH2	FOSL2	FOXA1	FOXA2	HDAC2	HNF4A	IRF3	JUN	JUND	MAFF	MAZ	MYBL2	MYC	NR2F2	NR3C1	REST	RFX5	RUVBL1	SMARCA4	SMARCC1	SRF	TEAD4
FOXA1	0.159167432723187	0.339066345122246	0.111803398874989	0.31943828249997	0.127775312999988	0.215852314776511	0.44262666813799	0.19047619047619	0.137583832098022	0.245984580597794	1	0.428571428571429	0.130240658811015	0.33340569485233	0.304997140665209	0.326530612244898	0.342857142857143	0.370389266335811	0.214285714285714	0.305441419328485	0.239756111908078	0.238095238095238	0.232142857142857	0.220044013204402	0.392857142857143	0.0972019739199674	0.211013984535999	0.158113883008419	0.184856182634466	0.342913827513702
FOXA2	0.123796892118035	0.304290309725092	0.149071198499986	0.298142396999972	0.149071198499986	0.228934273247815	0.473364631203129	0.166666666666667	0.100321544238141	0.176604314275339	0.428571428571429	1	0.132954005869578	0.340351646828421	0.304997140665209	0.285714285714286	0.3	0.314269680527354	0.208333333333333	0.267261241912424	0.193649167310371	0.222222222222222	0.229166666666667	0.186704011203735	0.333333333333333	0.0907218423253029	0.143606739475888	0.184466196843155	0.179721288672397	0.400066132099319
HDAC2	0.105809738922621	0.145643816250884	0.127411797859406	0.152894157431288	0.152894157431288	0.187844268604963	0.17654696590095	0.0949671470496983	0.192069377013354	0.12075557676046	0.130240658811015	0.132954005869578	1	0.166228585163803	0.139030599874994	0.179080905865145	0.159544807043493	0.161164592805076	0.170940864689457	0.121828980774635	0.17654696590095	0.132954005869578	0.156695792632002	0.191492070696939	0.170940864689457	0.0775403508665392	0.196386081769935	0.234243740300845	0.122886849955052	0.174077655955698
HNF4A	0.162518693546366	0.34620536683935	0.195698421916033	0.391396843832065	0.130465614610688	0.26046926740278	0.489608325150561	0.218797487246842	0.158040732931403	0.231843481202375	0.33340569485233	0.340351646828421	0.166228585163803	1	0.31141883731009	0.354243550780601	0.320902981295368	0.343807082086265	0.218797487246842	0.31187247023418	0.207141983717545	0.364662478744736	0.273496859058552	0.265527395316842	0.364662478744736	0.0992485556959023	0.179547392851635	0.184506241605777	0.235935398197709	0.350133857743577
IRF3	0.14159136794715	0.417634534792278	0.153448726380857	0.37509688670876	0.136398867894095	0.251367475467065	0.433124577026987	0.254164283887674	0.128510693386956	0.201989290811694	0.304997140665209	0.304997140665209	0.139030599874994	0.31141883731009	1	0.326782650712724	0.33549685473173	0.467275350548233	0.228747855498907	0.36681261567265	0.255937250061401	0.279580712276442	0.324059461956785	0.213540710879491	0.457495710997814	0.124514561272938	0.150170211155656	0.168784987759644	0.197332124982292	0.366057079101847
JUN	0.132639527269323	0.417312424765841	0.223606797749979	0.447213595499958	0.191662969499982	0.3532128787252	0.44262666813799	0.238095238095238	0.120385853085769	0.208140798967364	0.326530612244898	0.285714285714286	0.179080905865145	0.354243550780601	0.326782650712724	1	0.542857142857143	0.404061017820884	0.285714285714286	0.305441419328485	0.258198889747161	0.238095238095238	0.303571428571429	0.280056016805602	0.428571428571429	0.116642368703961	0.246182981958665	0.158113883008419	0.184856182634466	0.342913827513702
JUND	0.148556270541641	0.474692883171144	0.178885438199983	0.536656314599949	0.178885438199983	0.329665353476854	0.516397779494322	0.3	0.144463023702923	0.29139711855431	0.342857142857143	0.3	0.159544807043493	0.320902981295368	0.33549685473173	0.542857142857143	1	0.565685424949238	0.3	0.427617987059879	0.284018778721877	0.233333333333333	0.3	0.224044813444482	0.6	0.136082763487954	0.221564683762799	0.189736659610103	0.194098991766189	0.436435780471985
MAFF	0.175075243812963	0.559430927785516	0.131761569173682	0.579750904364203	0.210818510677892	0.356138149530997	0.608580619450185	0.353553390593274	0.17025130615175	0.312195270527231	0.370389266335811	0.314269680527354	0.161164592805076	0.343807082086265	0.467275350548233	0.404061017820884	0.565685424949238	1	0.353553390593274	0.50395263067897	0.304290309725092	0.314269680527354	0.324090608043834	0.198029508595335	0.766032346285427	0.128300059819917	0.203090598614981	0.223606797749979	0.228747855498907	0.462910049886276
MAZ	0.139271503632789	0.365148371670111	0.167705098312484	0.279508497187474	0.223606797749979	0.206040845923034	0.387298334620742	0.166666666666667	0.150482316357211	0.16556654463313	0.214285714285714	0.208333333333333	0.170940864689457	0.218797487246842	0.228747855498907	0.285714285714286	0.3	0.353553390593274	1	0.267261241912424	0.290473750965556	0.25	0.21875	0.210042012604201	0.375	0.136082763487954	0.215410109213832	0.197642353760524	0.107832773203438	0.272772362794991
MYBL2	0.099258333397093	0.390360029179413	0.119522860933439	0.478091443733757	0.239045721866879	0.330400394196459	0.552052447473883	0.311804782231162	0.128697890417557	0.247797313891676	0.305441419328485	0.267261241912424	0.121828980774635	0.31187247023418	0.36681261567265	0.305441419328485	0.427617987059879	0.50395263067897	0.267261241912424	1	0.241522945769824	0.267261241912424	0.33407655239053	0.224544356569536	0.534522483824849	0.145478593490662	0.131590338991954	0.169030850945703	0.230556167081694	0.408248290463863
MYC	0.143838990445615	0.329983164553722	0.144337567297406	0.259807621135332	0.115470053837925	0.212798070639573	0.333333333333333	0.193649167310371	0.124333974432042	0.188096031215612	0.239756111908078	0.193649167310371	0.17654696590095	0.207141983717545	0.255937250061401	0.258198889747161	0.284018778721877	0.304290309725092	0.290473750965556	0.241522945769824	1	0.172132593164774	0.225924028528766	0.198852919667101	0.322748612183951	0.105409255338946	0.238365647311398	0.204124145231931	0.139211511597426	0.253546276418555
NR2F2	0.0928476690885259	0.273861278752583	0.149071198499986	0.260874597374975	0.149071198499986	0.183147418598252	0.387298334620742	0.194444444444444	0.140450161933397	0.154528774990922	0.238095238095238	0.222222222222222	0.132954005869578	0.364662478744736	0.279580712276442	0.238095238095238	0.233333333333333	0.314269680527354	0.25	0.267261241912424	0.172132593164774	1	0.25	0.233380014004668	0.333333333333333	0.136082763487954	0.164121987972444	0.158113883008419	0.125804902070678	0.254587538608658
NR3C1	0.0928476690885259	0.342326598440729	0.167705098312484	0.335410196624968	0.167705098312484	0.22321091641662	0.355023473402347	0.25	0.150482316357211	0.198679853559757	0.232142857142857	0.229166666666667	0.156695792632002	0.273496859058552	0.324059461956785	0.303571428571429	0.3	0.324090608043834	0.21875	0.33407655239053	0.225924028528766	0.25	1	0.227545513654552	0.375	0.170103454359943	0.184637236468999	0.158113883008419	0.161749159805158	0.30004959907449
REST	0.130012741873086	0.230089496654211	0.12524485821703	0.219178501879802	0.12524485821703	0.153874609622564	0.253085534121765	0.163366009803268	0.151716521227252	0.148377302419909	0.220044013204402	0.186704011203735	0.191492070696939	0.265527395316842	0.213540710879491	0.280056016805602	0.224044813444482	0.198029508595335	0.210042012604201	0.224544356569536	0.198852919667101	0.233380014004668	0.227545513654552	1	0.210042012604201	0.133387788444174	0.155126306998506	0.177122977108019	0.181195301666741	0.244452932540856
RFX5	0.185695338177052	0.59336610396393	0.139754248593737	0.614918693812442	0.223606797749979	0.377741550858895	0.645497224367903	0.416666666666667	0.180578779628654	0.364246398192887	0.392857142857143	0.333333333333333	0.170940864689457	0.364662478744736	0.457495710997814	0.428571428571429	0.6	0.766032346285427	0.375	0.534522483824849	0.322748612183951	0.333333333333333	0.375	0.210042012604201	1	0.136082763487954	0.215410109213832	0.237170824512628	0.242623739707736	0.490990253030983
RUVBL1	0.151619608715781	0.0993807989999907	0.167359670348801	0.121716123890037	0.121716123890037	0.112154430818409	0.175682092231577	0.0907218423253029	0.0655297582910654	0.07209840939145	0.0972019739199674	0.0907218423253029	0.0775403508665392	0.0992485556959023	0.124514561272938	0.116642368703961	0.136082763487954	0.128300059819917	0.136082763487954	0.145478593490662	0.105409255338946	0.136082763487954	0.170103454359943	0.133387788444174	0.136082763487954	1	0.167506302543202	0.172132593164774	0.0440225453162812	0.1187827741833
SMARCA4	0.43429280483837	0.202259958738973	0.178906611833034	0.192668658897113	0.220192753025272	0.118355416327443	0.222474604157305	0.123091490979333	0.11854779319317	0.0978231976089037	0.211013984535999	0.143606739475888	0.196386081769935	0.179547392851635	0.150170211155656	0.246182981958665	0.221564683762799	0.203090598614981	0.215410109213832	0.131590338991954	0.238365647311398	0.164121987972444	0.184637236468999	0.155126306998506	0.215410109213832	0.167506302543202	1	0.60333668172518	0.10618637464038	0.188025358272589
SMARCC1	0.528498197563233	0.202072594216369	0.194454364826301	0.212132034355964	0.212132034355964	0.152030284967074	0.285773803324704	0.131761569173682	0.0951733734533601	0.125656172487509	0.158113883008419	0.184466196843155	0.234243740300845	0.184506241605777	0.168784987759644	0.158113883008419	0.189736659610103	0.223606797749979	0.197642353760524	0.169030850945703	0.204124145231931	0.158113883008419	0.158113883008419	0.177122977108019	0.237170824512628	0.172132593164774	0.60333668172518	1	0.119349009407333	0.276026223736942
SRF	0.120144259719491	0.216562288513493	0.0602803527713015	0.241121411085206	0.0964485644340824	0.162931675933129	0.278423023194852	0.161749159805158	0.103852323141602	0.142827997260011	0.184856182634466	0.179721288672397	0.122886849955052	0.235935398197709	0.197332124982292	0.184856182634466	0.194098991766189	0.228747855498907	0.107832773203438	0.230556167081694	0.139211511597426	0.125804902070678	0.161749159805158	0.181195301666741	0.242623739707736	0.0440225453162812	0.10618637464038	0.119349009407333	1	0.235310402667506
TEAD4	0.202610224618277	0.398409536444798	0.14638501094228	0.43915503282684	0.195180014589707	0.29974532466509	0.563436169819011	0.327326835353989	0.131351734373183	0.28903665650804	0.342913827513702	0.400066132099319	0.174077655955698	0.350133857743577	0.366057079101847	0.342913827513702	0.436435780471985	0.462910049886276	0.272772362794991	0.408248290463863	0.253546276418555	0.254587538608658	0.30004959907449	0.244452932540856	0.490990253030983	0.1187827741833	0.188025358272589	0.276026223736942	0.235310402667506	1
