	ARID2	ATF3	BRCA1	CEBPD	CEBPZ	CREB1	ELF1	EPAS1	EZH2	FOSL2	FOXA1	FOXA2	HDAC2	HNF4A	IRF3	JUN	JUND	MAFF	MAZ	MYBL2	MYC	NR2F2	NR3C1	REST	RFX5	RUVBL1	SMARCA4	SMARCC1	SRF	TEAD4
HNF4A	0.133996165947999	0.223942906122427	0.186199433921295	0.102118425851007	0.412515901726467	0.184009948825902	0.266835231899878	0.243875244516034	0.221532764800378	0.162569497075844	0.262369179869047	0.441189542526758	0.411040914230934	1	0.183811460109324	0.209389564010459	0.361011472449626	0.0733468747974586	0.187161702025113	0.358499903453224	0.439959230452987	0.23784048805998	0.221352181629423	0.148062109257747	0.237761522772735	0.370440156095002	0.225003744578839	0.17173932137707	0.212263968412629	0.311210451057319
IRF3	0.050436117909873	0.0445567134454588	0.124807944495129	0.0687577355662578	0.163243012091228	0.105847934534396	0.0346225301321621	0.0858158582050168	0.152207823455312	0.038920931340484	0.0675601218605271	0.164410420668242	0.197576119094813	0.183811460109324	1	0.00768426911096418	0.132444201233363	0.0961857143746164	0.0990075384570344	0.185259842375274	0.182090959868768	0.0391798403783514	0.152712217808603	0.1296629517314	0.102414300839717	0.261133357864883	0.136814175441244	0.145198180334683	0.0559317601958144	0.163981751539821
JUN	0.136717319904054	0.460366719867575	0.166497498562727	0.329548988112177	0.17189653453008	0.0990874411153325	0.169148188173731	0.0790585088367635	0.107697307145136	0.293145551325772	0.152260226491283	0.0274256532917194	0.161426925070882	0.209389564010459	0.00768426911096418	1	0.415020356669844	0.355129862194353	0.0668916014824324	0.241104946045193	0.0494491230238028	0.144014065568477	0.120671674656747	0.0718960449983154	0.121106514292122	0.217323501371952	0.102209911667285	0.180607097886013	0.0223440199407094	0.150437669638237
JUND	0.256148929112607	0.510283510809197	0.235664332085453	0.408461071883165	0.292165923987662	0.189927001033195	0.297913958779166	0.161119695393233	0.188495448512177	0.382382327211891	0.216396232700825	0.0998060275644371	0.413023006284887	0.361011472449626	0.132444201233363	0.415020356669844	1	0.386756541514154	0.14025041878128	0.346111873419787	0.184263316094507	0.202453928969348	0.242284802595077	0.162841389019903	0.203287445252116	0.37220272878502	0.204720656968651	0.215617943836606	0.0549045213778096	0.228458666234551
MAFF	0.164830212819212	0.422843193488836	0.210288660412433	0.528943893776921	0.162225234332932	0.125298619629006	0.257523068293783	0.0606056478103939	0.162102418429037	0.32087002753839	0.180875036429106	0.0676566262920987	0.157662388190753	0.0733468747974586	0.0961857143746164	0.355129862194353	0.386756541514154	1	0.106194665057462	0.201847529361759	0.0147786992782386	0.157553195251413	0.0677183087422592	0.0609876787886485	0.0957686575845269	0.245127224018994	0.240811739394788	0.144945333076071	0.0485799672746044	0.123519964254153
MAZ	0.185665343041878	0.00703672576776075	0.125398155442375	0.0671759676934176	0.160613028484486	0.0921879872800417	0.116903467799133	0.097728633056265	0.227207587080532	0.161473719601213	0.055463732933102	0.05753194895803	0.237548652324302	0.187161702025113	0.0990075384570344	0.0668916014824324	0.14025041878128	0.106194665057462	1	0.281217653163901	0.19518094016885	0.111304263984877	0.0511058125196148	0.108277858340361	0.153564798795807	0.246497223412973	0.233122719935246	0.210194376124614	0.153116299827075	0.127851876137732
MYBL2	0.256124417855765	0.279544821981192	0.487392313170959	0.271961981584096	0.397589347219646	0.244239422175868	0.289116700595879	0.2832229164389	0.367121624487819	0.252454191896232	0.286686783085539	0.135220620172507	0.427923756284873	0.358499903453224	0.185259842375274	0.241104946045193	0.346111873419787	0.201847529361759	0.281217653163901	1	0.215623248405791	0.270764615781892	0.174655327376429	0.214913769344843	0.177372887129371	0.42633403233275	0.306268639467406	0.350323744313029	0.111618085798139	0.361864572092385
MYC	0.128722069967663	0.066290688568395	0.119077452535703	0.0519136898910171	0.378188093100759	0.126811778035012	0.161232569155081	0.148984620747467	0.213709762219167	0.0445806973848764	0.123340902291553	0.377324475332757	0.273980765419138	0.439959230452987	0.182090959868768	0.0494491230238028	0.184263316094507	0.0147786992782386	0.19518094016885	0.215623248405791	1	0.124236507523036	0.112027252070704	0.0779461442426561	0.151902777554998	0.329805400918127	0.197315007695846	0.160367089453549	0.174349205832311	0.26231698729124
NR2F2	0.137707147959498	0.166377355370949	0.158318753900066	0.0945468594322344	0.169433039543121	0.0574004243780232	0.246160597554825	0.175342274825947	0.130646281869158	0.181073018277241	0.200167826004931	0.112920342214765	0.19654724269551	0.23784048805998	0.0391798403783514	0.144014065568477	0.202453928969348	0.157553195251413	0.111304263984877	0.270764615781892	0.124236507523036	1	0.134608462625507	0.0216984108945781	0.181865794168959	0.207873633127115	0.12389264132529	0.204006029997471	0.0998740371592537	0.169236394613114
NR3C1	0.0723976770631528	0.128286826014806	0.0377820933354962	0.10857356715411	0.106996854728383	0.00229006323659081	0.180482147311363	0.152327913814604	0.0677992822755996	0.132400719137566	0.139745168590194	0.199509620072065	0.191673612162287	0.221352181629423	0.152712217808603	0.120671674656747	0.242284802595077	0.0677183087422592	0.0511058125196148	0.174655327376429	0.112027252070704	0.134608462625507	1	0.00966750140386037	0.115722141407397	0.25066348532048	0.0959767732506857	0.191102029834456	0.0501357828320803	0.20294943702406
REST	0.139720404614841	0.0879219894839323	0.189857411905555	0.221916981330947	0.219297388548873	0.121638310293305	0.067033051828805	0.142180381478867	0.176314076698173	0.142108918182108	0.0727414148283935	0.00739745765146458	0.293162383165588	0.148062109257747	0.1296629517314	0.0718960449983154	0.162841389019903	0.0609876787886485	0.108277858340361	0.214913769344843	0.0779461442426561	0.0216984108945781	0.00966750140386037	1	0.101682076229537	0.188012201532967	0.100134283426455	0.18684854636019	0.0423217879480584	0.0864542006227549
RFX5	0.0856942450128336	0.167012468165143	0.10382781907096	0.13314962224476	0.162578616196157	0.123413425687089	0.12833841195405	0.147501327065182	0.167628188199039	0.169631350205785	0.137880678676701	0.145670059494535	0.147975270609408	0.237761522772735	0.102414300839717	0.121106514292122	0.203287445252116	0.0957686575845269	0.153564798795807	0.177372887129371	0.151902777554998	0.181865794168959	0.115722141407397	0.101682076229537	1	0.207893844666565	0.151260781875172	0.134488740110525	0.0936199360106209	0.155349526754633
RUVBL1	0.271115829623816	0.225447704570833	0.275356655635005	0.271498451914433	0.361081020759179	0.210156712425794	0.23450334802896	0.219808189562386	0.372136581910437	0.291595679835968	0.246223070205077	0.149351099941992	0.39883787004818	0.370440156095002	0.261133357864883	0.217323501371952	0.37220272878502	0.245127224018994	0.246497223412973	0.42633403233275	0.329805400918127	0.207873633127115	0.25066348532048	0.188012201532967	0.207893844666565	1	0.379838109442005	0.35003073426611	0.169239846538899	0.277368832948268
SMARCA4	0.155946859770618	0.0929453688864073	0.235533862132052	0.227120509863049	0.243711821161735	0.110600104463325	0.0977095727102688	0.203493976384998	0.214742898498484	0.137802206476159	0.219053858623783	0.0745568588959978	0.368979131249782	0.225003744578839	0.136814175441244	0.102209911667285	0.204720656968651	0.240811739394788	0.233122719935246	0.306268639467406	0.197315007695846	0.12389264132529	0.0959767732506857	0.100134283426455	0.151260781875172	0.379838109442005	1	0.242821547024353	0.174424010239201	0.163451457631948
SMARCC1	0.239479553951364	0.178472208087911	0.219899063866907	0.152294569676033	0.286442200759875	0.194893257864461	0.0888946152645153	0.0696203574281956	0.18547005498458	0.179998487535641	0.118088554982782	0.0171173929695366	0.317532756477264	0.17173932137707	0.145198180334683	0.180607097886013	0.215617943836606	0.144945333076071	0.210194376124614	0.350323744313029	0.160367089453549	0.204006029997471	0.191102029834456	0.18684854636019	0.134488740110525	0.35003073426611	0.242821547024353	1	0.0812067842001572	0.227442573975204
SRF	0.0124786844658593	0.044321946044515	0.062111245886395	0.0161440590635847	0.11525027126668	0.0186582251876002	0.0273871948673557	0.13867625041477	0.111580218279418	0.034092796501365	0.0910909649846377	0.16473775672306	0.0853320112602995	0.212263968412629	0.0559317601958144	0.0223440199407094	0.0549045213778096	0.0485799672746044	0.153116299827075	0.111618085798139	0.174349205832311	0.0998740371592537	0.0501357828320803	0.0423217879480584	0.0936199360106209	0.169239846538899	0.174424010239201	0.0812067842001572	1	0.07442962450461
TEAD4	0.0851185406726172	0.149196688660148	0.230056269614562	0.150165435526677	0.283592336669852	0.111098835254194	0.230144829638154	0.212593406641854	0.158194460868398	0.172762151540144	0.203768792257704	0.16203338962876	0.272100178272351	0.311210451057319	0.163981751539821	0.150437669638237	0.228458666234551	0.123519964254153	0.127851876137732	0.361864572092385	0.26231698729124	0.169236394613114	0.20294943702406	0.0864542006227549	0.155349526754633	0.277368832948268	0.163451457631948	0.227442573975204	0.07442962450461	1
