	ARID2	ATF3	BRCA1	CEBPD	CEBPZ	CREB1	ELF1	EPAS1	EZH2	FOSL2	FOXA1	FOXA2	HDAC2	HNF4A	IRF3	JUN	JUND	MAFF	MAZ	MYBL2	MYC	NR2F2	NR3C1	REST	RFX5	RUVBL1	SMARCA4	SMARCC1	SRF	TEAD4
FOXA1	0.05457	0.1206	0.08424	0.08251	0.05996	0.08666	0.1369	0.07921	0.07267	0.07979	1	0.2785	0.0822	0.058	0.136	0.09991	0.07703	0.1481	0.06662	0.05895	0.07457	0.05997	0.07111	0.06888	0.06485	0.02753	0.08638	0.07711	0.07763	0.08246
FOXA2	0.05159	0.09683	0.08251	0.09372	0.05462	0.0624	0.129	0.07813	0.06751	0.09604	0.2835	1	0.05664	0.06548	0.1172	0.07829	0.06934	0.1293	0.07456	0.06972	0.09496	0.05097	0.06122	0.07337	0.06872	0.05423	0.08623	0.06704	0.08608	0.08303
HDAC2	0.05174	0.06119	0.08303	0.08004	0.05799	0.076	0.05396	0.05688	0.05403	0.08003	0.07501	0.05385	1	0.0642	0.05837	0.09562	0.05766	0.1106	0.03887	0.0689	0.05034	0.06722	0.06166	0.03903	0.04798	0.05681	0.1791	0.04688	0.05372	0.05777
HNF4A	0.1021	0.1521	0.07175	0.06665	0.0944	0.05995	0.07034	0.04074	0.06572	0.102	0.06096	0.1055	0.07348	1	0.05422	0.07826	0.08151	0.1926	0.05151	0.06733	0.05023	0.3851	0.4082	0.0823	0.05897	0.05278	0.07456	0.06897	0.06013	0.07844
IRF3	0.08573	0.07983	0.04541	0.08812	0.05368	0.05867	0.1555	0.05704	0.04454	0.06547	0.137	0.137	0.05341	0.06381	1	0.08056	0.05931	0.1092	0.05537	0.05369	0.05761	0.05151	0.06932	0.06442	0.088	0.04094	0.04819	0.04019	0.06956	0.06789
JUN	0.05376	0.3849	0.08516	0.2148	0.1005	0.1985	0.06808	0.1086	0.05996	0.07722	0.0986	0.07715	0.04187	0.04352	0.04475	1	0.295	0.283	0.08968	0.08061	0.1513	0.07894	0.09223	0.07868	0.07079	0.06554	0.09106	0.06161	0.08714	0.08581
JUND	0.06113	0.4001	0.08569	0.2143	0.06578	0.1972	0.08132	0.06489	0.07799	0.1032	0.06438	0.08266	0.06339	0.06916	0.05209	0.295	1	0.2978	0.06085	0.07802	0.1481	0.05666	0.09073	0.06527	0.08106	0.04893	0.08628	0.1132	0.07761	0.09726
MAFF	0.08048	0.2272	0.1366	0.3067	0.2076	0.2186	0.1091	0.1412	0.2213	0.3252	0.1378	0.1319	0.1106	0.1004	0.1334	0.2863	0.283	1	0.1393	0.09136	0.2039	0.07646	0.1022	0.1019	0.1122	0.09822	0.2556	0.3314	0.09692	0.1214
MAZ	0.07683	0.1103	0.06489	0.07995	0.04346	0.1091	0.06949	0.06039	0.04653	0.06307	0.05099	0.06431	0.03887	0.0434	0.03896	0.05708	0.07646	0.1338	1	0.06096	0.0681	0.07304	0.05858	0.2927	0.05024	0.0447	0.06025	0.08735	0.05297	0.04693
MYBL2	0.04301	0.1212	0.04763	0.09084	0.05315	0.08541	0.05194	0.07901	0.0558	0.06513	0.07586	0.0601	0.04415	0.07878	0.03448	0.08646	0.07518	0.1122	0.06035	1	0.06411	0.04017	0.05082	0.06017	0.06923	0.06505	0.04637	0.05658	0.07506	0.06388
MYC	0.06056	0.1933	0.07789	0.123	0.09994	0.1317	0.06201	0.06797	0.0748	0.07278	0.08197	0.09493	0.05064	0.07632	0.04934	0.1439	0.1527	0.116	0.05845	0.06384	1	0.06084	0.06842	0.06078	0.06457	0.04163	0.08325	0.06148	0.08159	0.08721
NR2F2	0.09555	0.1462	0.05579	0.07333	0.0837	0.06675	0.0476	0.05355	0.07368	0.05375	0.06516	0.06241	0.05997	0.3861	0.04893	0.0758	0.08169	0.1351	0.06659	0.05685	0.06493	1	0.3454	0.05	0.05946	0.07404	0.07048	0.09721	0.08316	0.08374
NR3C1	0.06343	0.09264	0.04728	0.07737	0.04401	0.06877	0.06809	0.04171	0.04289	0.07645	0.05606	0.0567	0.06046	0.4085	0.06932	0.09429	0.06652	0.1839	0.08138	0.05401	0.06694	0.3472	1	0.06108	0.06669	0.04733	0.04972	0.03915	0.0573	0.06271
REST	0.04513	0.1534	0.03854	0.1206	0.0403	0.09191	0.063	0.04418	0.05466	0.06629	0.05633	0.07485	0.04512	0.05956	0.06347	0.08583	0.09904	0.09895	0.2649	0.06791	0.07689	0.07236	0.04328	1	0.05989	0.04377	0.03224	0.04755	0.0761	0.05943
RFX5	0.1311	0.1151	0.04512	0.1018	0.03882	0.06832	0.09396	0.05029	0.06347	0.06845	0.06053	0.0975	0.05025	0.06038	0.08459	0.06319	0.06475	0.1107	0.07109	0.06073	0.06565	0.05529	0.05367	0.06311	1	0.04411	0.04214	0.06108	0.06476	0.06988
RUVBL1	0.09825	0.1189	0.05838	0.05473	0.05256	0.07186	0.04938	0.06113	0.06907	0.067	0.03674	0.05819	0.05681	0.05278	0.04094	0.07432	0.06733	0.1239	0.05002	0.04995	0.06301	0.07003	0.04628	0.04129	0.04831	1	0.1143	0.05604	0.0482	0.05419
SMARCA4	0.02341	0.2323	0.02393	0.1237	0.05337	0.08127	0.04148	0.04279	0.03295	0.06348	0.07371	0.06615	0.1791	0.06885	0.04432	0.09831	0.1027	0.2556	0.06228	0.04417	0.08356	0.07474	0.03347	0.02799	0.04839	0.1172	1	0.03826	0.04435	0.07732
SMARCC1	0.0367	0.1526	0.03305	0.09793	0.0439	0.06477	0.039	0.0334	0.06161	0.1281	0.06256	0.08334	0.03946	0.05269	0.0465	0.1738	0.1755	0.196	0.07315	0.07447	0.1186	0.0884	0.0662	0.04225	0.04129	0.05907	0.04159	1	0.04547	0.1077
SRF	0.06284	0.1487	0.05945	0.08446	0.04711	0.0804	0.07409	0.06808	0.04877	0.07734	0.07753	0.09952	0.03912	0.04902	0.05324	0.06302	0.07627	0.05968	0.07062	0.06495	0.08909	0.04319	0.05386	0.05331	0.05985	0.0482	0.07037	0.06613	1	0.05239
TEAD4	0.05406	0.1823	0.05614	0.1419	0.05772	0.07905	0.07021	0.08021	0.05826	0.06718	0.08875	0.08489	0.05847	0.07106	0.06266	0.09031	0.09726	0.1797	0.06295	0.1	0.08029	0.07036	0.06617	0.05756	0.04917	0.05419	0.06175	0.07422	0.07312	1
