	AHR	ATF3	ATF4	BATF3	CTCF	EGR1	ETS2	HIF1A	IRF1	IRF2	IRF4	JUNB	MAFF	NFKB1	RELA	RUNX1	STAT1	STAT3	SUMO1	SUMO2
IRF4	0.282416272064293	0.381000381000571	0.305044438043282	0.465667132334032	0.336595628071929	0.311882143547879	0.449403531763883	0.223731127366341	0.370738998932663	0.592667259334222	1	0.394664881467296	0.522728210242839	0.317345401503208	0.235502088588371	0.339422116651065	0.269607440629911	0.277571830405016	0.108306072214776	0.185495558304067
JUNB	0.2126309735815	0.388449298033678	0.325362575999155	0.438250490089278	0.263981838674227	0.293519754282137	0.458189794952657	0.238633218156823	0.348911350395459	0.478091443733758	0.394664881467296	1	0.573944043183551	0.279995022354959	0.221636655401456	0.298142396999972	0.29277002188456	0.276595937911151	0.127411797859406	0.174574312188794
MAFF	0.228821776281415	0.557370401713154	0.357002773647708	0.571661950475029	0.340899308585357	0.391076944437521	0.556293911166591	0.241697848353228	0.357599269926076	0.628828145522532	0.522728210242839	0.573944043183551	1	0.348186529603627	0.227155425212127	0.366679398811285	0.308061618486162	0.264584318221454	0.10969086361907	0.187867287325545
NFKB1	0.243103757988678	0.351390964249364	0.262582069722187	0.312347523777212	0.327683630305961	0.287644245566472	0.345398474293878	0.265954333142126	0.35820928496421	0.364405444406747	0.317345401503208	0.279995022354959	0.348186529603627	1	0.465428702128568	0.278261290376561	0.318788356531669	0.301176889295036	0.116537252687105	0.14256648712805
RELA	0.206179827959696	0.314576434802948	0.254513905190311	0.220755392844174	0.277913246099792	0.255572179631018	0.253879134230965	0.241115576255719	0.303802497166359	0.264906471413009	0.235502088588371	0.221636655401456	0.227155425212127	0.465428702128568	1	0.247797313891676	0.30281331944409	0.306518992881282	0.0988369365768584	0.120912708351669
RUNX1	0.237728655525098	0.378620092709268	0.299572344757639	0.296956935458249	0.295140668050478	0.265657430865147	0.31524416249564	0.219717687201021	0.278639106287676	0.386044016095724	0.339422116651065	0.298142396999972	0.366679398811285	0.278261290376561	0.247797313891676	1	0.261861468283191	0.217615908702282	0.0949671470496983	0.162650012158089
STAT1	0.193672810454017	0.285773803324704	0.235339362165821	0.2993820796735	0.198367319626835	0.257801354654196	0.288926047405846	0.230142384712984	0.289427220457974	0.32659863237109	0.269607440629911	0.29277002188456	0.308061618486162	0.318788356531669	0.30281331944409	0.261861468283191	1	0.325415606270516	0.156669890360128	0.149071198499986
STAT3	0.209656967344384	0.25712973861329	0.26762911716145	0.235702260395516	0.241359450191482	0.214241814290451	0.284337837350557	0.24913643956122	0.227864841330296	0.25712973861329	0.277571830405016	0.276595937911151	0.264584318221454	0.301176889295036	0.306518992881282	0.217615908702282	0.325415606270516	1	0.0822303667030264	0.093890505362604
SUMO1	0.0790174426551268	0.133250447722257	0.119488029849811	0.14213381090374	0.141264482804403	0.0747957592006766	0.125738922692386	0.100156617167227	0.111138556118597	0.106600358177805	0.108306072214776	0.127411797859406	0.10969086361907	0.116537252687105	0.0988369365768584	0.0949671470496983	0.156669890360128	0.0822303667030264	1	0.389249472080761
SUMO2	0.108266392392153	0.182574185835055	0.116941069240937	0.121716123890037	0.161295567709102	0.0960768922830523	0.16151457061745	0.107211253483779	0.152277397525376	0.182574185835055	0.185495558304067	0.174574312188794	0.187867287325545	0.14256648712805	0.120912708351669	0.162650012158089	0.149071198499986	0.093890505362604	0.389249472080761	1
