,TF,index
227,ATF4,555
228,KHDRBS1,556
229,NCOA4,558
230,SRRM1,564
231,GATAD2A,568
232,TRPS1,570
233,SUPT4H1,573
234,RFC1,576
235,CDC5L,577
236,ING1,578
237,SIRT7,579
238,ILK,580
239,TOP2B,582
240,SMAD4,586
241,SUMO1,587
242,SUZ12,592
243,NME2,594
244,ZFP36,596
245,TCEB2,597
246,ZFP148,600
247,POLR2F,610
248,CSDE1,612
249,UBE2K,613
250,NFKBIA,620
251,SRSF5,623
252,LASS5,624
253,ZFML,628
254,HMGA1,630
255,IRF4,636
256,MYD88,639
257,TAF12,644
258,SUPT6H,646
259,DEK,647
260,HNRNPK,652
261,PARP1,655
262,TBPL1,657
263,ARID1B,658
264,BUB3,660
265,DAZAP2,663
266,JUNB,665
267,ZNRD1,668
268,CEBPA,674
269,POLR2C,679
270,KDM6B,680
271,CHD1,682
272,IRF1,685
273,TARDBP,686
274,NCOA3,687
275,TAF7,689
276,NFIL3,691
277,KLF13,695
278,MCM4,697
279,RUNX1,698
280,JMJD1C,699
281,UPF1,700
282,HAX1,701
283,CTCF,704
284,NFAT5,711
285,CNOT6L,713
286,DAB2,714
287,ELL2,715
288,ETS2,717
289,TLR4,723
290,POLR2I,724
291,TOX4,727
292,IVNS1ABP,730
293,ZBTB7A,733
294,ZFHX3,735
295,HIST1H1C,737
296,ZFP36L1,739
297,AKT1,741
298,NCOR1,745
299,MAPK3,750
300,WBP11,752
301,SF1,753
302,ID2,754
303,DPF2,757
304,ZFP410,761
305,DNMT1,764
306,POLR2A,768
307,BTG1,771
308,CCRN4L,772
309,SKI,783
310,TCF7L2,784
311,HMG20A,787
312,H1F0,790
313,CREBBP,791
314,VDR,792
315,HCLS1,794
316,CBX3,800
317,SNAPC5,801
318,ZFP91,803
319,TNF,807
320,SFPI1,809
321,PAPOLA,816
322,REL,818
