	BMI1	CBFB	CBX7	EBF1	ELF4	ESR1	ETS1	FOS	FOXO1	GATA2	GFI1	GFI1B	HCFC1	HDAC2	IKZF1	IRF1	IRF8	JUN	MEF2C	MEIS1	MYC	NFAT5	NOTCH1	NR4A1	RAD51	SATB1	SPI1	STAT3	WDR5
GFI1	0.359979175360798	0.244948974278318	0.177122977108019	0.377123616632825	0.311399577664609	0.18166810487819	0.244948974278318	0.247716847153431	0.198761597999981	0.240481444816861	1	0.430331482911935	0.148087219439773	0.152277397525376	0.316227766016838	0.215352760823266	0.360180135112599	0.25158672490776	0.175467387486241	0.203419051086243	0.171751346643182	0.233333333333333	0.0869581991249918	0.237170824512628	0.0912870929175277	0.351364184463153	0.235969951862135	0.132781226061858	0.156556072771287
GFI1B	0.202123306251819	0.316227766016838	0.228664780190012	0.547722557505166	0.351763235340724	0.257985766401107	0.351364184463153	0.355334527259351	0.224525104684854	0.310460210282533	0.430331482911935	1	0.191179778225468	0.172015615514047	0.340206908719886	0.208514414057075	0.309993703316851	0.274828285965149	0.205934021071738	0.393919298579168	0.177384028063397	0.344265186329548	0.128300059819917	0.340206908719886	0.117851130197758	0.31752644813856	0.233356905928568	0.214274782177742	0.202113020863611
HCFC1	0.333333333333333	0.253916687538504	0.23606684260939	0.293197735804187	0.207514339159822	0.177557981781208	0.266007958373671	0.244557994022259	0.198679853559757	0.178061142448941	0.148087219439773	0.191179778225468	1	0.236778532022108	0.327805034053593	0.167427705632229	0.240021336178199	0.206345234988273	0.184253567835046	0.210866331595072	0.198386599003518	0.236939551103637	0.143491005348713	0.210731807605881	0.162221421130763	0.280975743474508	0.154880618532473	0.191716224972719	0.417311163055993
HDAC2	0.117289357907105	0.139875721236047	0.202288694969669	0.16151457061745	0.111138556118597	0.176357657179389	0.186500961648063	0.157173653365483	0.156063697305771	0.125880866958873	0.152277397525376	0.172015615514047	0.236778532022108	1	0.180578779628654	0.122975092380269	0.137118234038212	0.209973595008704	0.145743911547172	0.154880618532473	0.127500009430474	0.133242722834704	0.120594675190823	0.13543408472149	0.117289357907105	0.200643088476282	0.191179778225468	0.142168918675278	0.125159744474127
IKZF1	0.278820124830194	0.322748612183951	0.245049014704902	0.447213595499958	0.307728727448332	0.22979399584857	0.344265186329548	0.348155311911396	0.255344115428476	0.237646593946679	0.316227766016838	0.340206908719886	0.327805034053593	0.180578779628654	1	0.297939785765562	0.355934248407187	0.290695279147	0.226994972537393	0.321633760451339	0.203672042472588	0.316227766016838	0.157134840263677	0.333333333333333	0.144337567297406	0.333333333333333	0.199007438041998	0.236188746486665	0.198029508595335
IRF1	0.351364184463153	0.197814142018736	0.107279780977823	0.418762843194785	0.345782037404062	0.205394321680007	0.351669585811086	0.35564337957951	0.300964632714423	0.21039014371407	0.215352760823266	0.208514414057075	0.167427705632229	0.122975092380269	0.297939785765562	1	0.387828932450976	0.296947505801545	0.193230952821859	0.273792839096697	0.208052587545317	0.269190951029083	0.120385853085769	0.361784025572468	0.0921512225968107	0.312127394611541	0.15923243882462	0.227864841330296	0.151716521227252
IRF8	0.172015615514047	0.294085848837523	0.15949044456578	0.46692399597581	0.38554980047803	0.196299727682028	0.367607311046904	0.346977117967627	0.335578027607012	0.270676997769406	0.360180135112599	0.309993703316851	0.240021336178199	0.137118234038212	0.355934248407187	0.387828932450976	1	0.278820124830194	0.229817699391451	0.274753129892699	0.201049625529064	0.330165123853215	0.111859342535671	0.332205298513375	0.102749367065848	0.348024598442583	0.102062072615966	0.194289712269968	0.19735935605211
JUN	0.359979175360798	0.21332045841299	0.179961073855171	0.328428330902384	0.29378999955862	0.274231701159019	0.331831824197984	0.527342286982989	0.288494881605277	0.232699765779077	0.25158672490776	0.274828285965149	0.206345234988273	0.209973595008704	0.290695279147	0.296947505801545	0.278820124830194	1	0.231531111953414	0.295254997192109	0.279205395326019	0.309645199886473	0.173096928963166	0.35189428528321	0.145749708500875	0.265195693256912	0.139754248593737	0.279453986547131	0.14543050934012
MEF2C	0.258198889747161	0.175829549662027	0.127142615687439	0.270707300876965	0.242156629991817	0.147792565034562	0.247463810635445	0.263431684886916	0.202123306251819	0.210983254304656	0.175467387486241	0.205934021071738	0.184253567835046	0.145743911547172	0.226994972537393	0.193230952821859	0.229817699391451	0.231531111953414	1	0.194691324322	0.180820560556338	0.223322129527944	0.148620078126338	0.226994972537393	0.0873704056661038	0.201773308922127	0.351763235340724	0.190626339635136	0.089903405730383
MEIS1	0.189316422860252	0.33218191941496	0.180150939644418	0.527409631633923	0.395903791232448	0.203251144288266	0.359863746032873	0.363930132121305	0.277969282645598	0.32612338205663	0.203419051086243	0.393919298579168	0.210866331595072	0.154880618532473	0.321633760451339	0.273792839096697	0.274753129892699	0.295254997192109	0.194691324322	1	0.209624975741642	0.372934926991446	0.138984641322799	0.321633760451339	0.116059586360657	0.321633760451338	0.202123306251819	0.219458126936516	0.15923243882462
MYC	0.14543050934012	0.189316422860252	0.114079161899069	0.291471700534356	0.280787308242077	0.215292017419113	0.266445335877392	0.2836380138987	0.204825432704685	0.185863553954972	0.171751346643182	0.177384028063397	0.198386599003518	0.127500009430474	0.203672042472588	0.208052587545317	0.201049625529064	0.279205395326019	0.180820560556338	0.209624975741642	1	0.223276750636136	0.108813511124364	0.230828314802267	0.11759010854795	0.271562723296784	0.310460210282533	0.205248189465512	0.112932608559273
NFAT5	0.221403721385024	0.204124145231931	0.221403721385024	0.471404520791032	0.428174419288838	0.236168536341647	0.408248290463863	0.385337317794226	0.32298759674997	0.300601806021076	0.233333333333333	0.344265186329548	0.236939551103637	0.133242722834704	0.316227766016838	0.269190951029083	0.330165123853215	0.309645199886473	0.223322129527944	0.372934926991446	0.223276750636136	1	0.111803398874989	0.368932393686311	0.182574185835055	0.316227766016838	0.345782037404062	0.248964798865985	0.12524485821703
NOTCH1	0.148522131446501	0.106501608403782	0.0990147542976674	0.158113883008419	0.10154529930749	0.121866669555358	0.142002144538376	0.143606739475888	0.138888888888889	0.134433214484466	0.0869581991249918	0.128300059819917	0.143491005348713	0.120594675190823	0.157134840263677	0.120385853085769	0.111859342535671	0.173096928963166	0.148620078126338	0.138984641322799	0.108813511124364	0.111803398874989	1	0.157134840263677	0.0680413817439772	0.0916619901538117	0.273792839096697	0.167010664280671	0.0816830049016339
NR4A1	0.240282945860364	0.225924028528766	0.175035010503501	0.484481395124954	0.400047345682831	0.287242494810713	0.408814908766338	0.435194139889245	0.314269680527354	0.301019018999127	0.237170824512628	0.340206908719886	0.210731807605881	0.13543408472149	0.333333333333333	0.361784025572468	0.332205298513375	0.35189428528321	0.226994972537393	0.321633760451339	0.230828314802267	0.368932393686311	0.157134840263677	1	0.180421959121758	0.277777777777778	0.120665983430988	0.275553537567776	0.148522131446501
RAD51	0.187867287325545	0.139754248593737	0.212218671906791	0.129099444873581	0.106600358177805	0.124379648776249	0.111803398874989	0.150755672288882	0.102062072615966	0.0823231949922678	0.0912870929175277	0.117851130197758	0.162221421130763	0.117289357907105	0.144337567297406	0.0921512225968107	0.102749367065848	0.145749708500875	0.0873704056661038	0.116059586360657	0.11759010854795	0.182574185835055	0.0680413817439772	0.180421959121758	1	0.144337567297406	0.280975743474508	0.102272727272727	0.0643119694284408
SATB1	0.196299727682028	0.258198889747161	0.326732019606536	0.397523195999963	0.45133546692422	0.191494996540475	0.286887655274623	0.29012942659283	0.261891400439462	0.232365558525642	0.351364184463153	0.31752644813856	0.280975743474508	0.200643088476282	0.333333333333333	0.312127394611541	0.348024598442583	0.265195693256912	0.201773308922127	0.321633760451338	0.271562723296784	0.316227766016838	0.0916619901538117	0.277777777777778	0.144337567297406	1	0.197814142018736	0.192450089729875	0.198029508595335
SPI1	0.363930132121305	0.316227766016838	0.154880618532473	0.300601806021076	0.33218191941496	0.137118234038212	0.226994972537393	0.11759010854795	0.154880618532473	0.236778532022108	0.314269680527354	0.377168254570679	0.14543050934012	0.138984641322799	0.0990147542976674	0.120594675190823	0.134433214484466	0.395903791232448	0.271346366270777	0.177997663795994	0.138888888888889	0.214274782177742	0.198029508595335	0.175035010503501	0.117851130197758	0.200643088476282	1	0.286038776773678	0.300964632714423
STAT3	0.291471700534356	0.162623125636348	0.110243465925606	0.281671516087812	0.271346366270777	0.199007438041998	0.379453959818146	0.301511344577764	0.235052046024648	0.219528519979381	0.132781226061858	0.214274782177742	0.191716224972719	0.142168918675278	0.236188746486665	0.227864841330296	0.194289712269968	0.279453986547131	0.190626339635136	0.219458126936516	0.205248189465512	0.248964798865985	0.167010664280671	0.275553537567776	0.102272727272727	0.192450089729875	0.143491005348713	1	0.109135463272506
WDR5	0.242156629991817	0.191741247211843	0.249567099242311	0.265684465662029	0.182818106031783	0.102388482171114	0.153392997769474	0.155126306998506	0.163366009803268	0.112946491724678	0.156556072771287	0.202113020863611	0.417311163055993	0.125159744474127	0.198029508595335	0.151716521227252	0.19735935605211	0.14543050934012	0.089903405730383	0.15923243882462	0.112932608559273	0.12524485821703	0.0816830049016339	0.148522131446501	0.0643119694284408	0.198029508595335	0.226994972537393	0.109135463272506	1
